gvkey,iid,datadate,tic,cshtrd, prccd , prcld , prcstd ,trfd
1690,1,20090102,AAPL,26641980, 90.75 , 85.16 , 3.00 ,1.09566295
1690,1,20090105,AAPL,42187570, 94.58 , 92.71 , 3.00 ,1.09566295
1690,1,20090106,AAPL,46038530, 93.02 , 92.39 , 3.00 ,1.09566295
1690,1,20090107,AAPL,26890770, 91.01 , 90.26 , 3.00 ,1.09566295
1690,1,20090108,AAPL,23670270, 92.70 , 90.04 , 3.00 ,1.09566295
1690,1,20090109,AAPL,19520190, 90.58 , 90.14 , 3.00 ,1.09566295
1690,1,20090112,AAPL,21970930, 88.66 , 87.55 , 3.00 ,1.09566295
1690,1,20090113,AAPL,28436780, 87.71 , 86.35 , 3.00 ,1.09566295
1690,1,20090114,AAPL,35379980, 85.33 , 84.72 , 3.00 ,1.09566295
1690,1,20090115,AAPL,65410310, 83.38 , 80.05 , 3.00 ,1.09566295
1690,1,20090116,AAPL,37392270, 82.33 , 80.40 , 3.00 ,1.09566295
1690,1,20090120,AAPL,32414690, 78.20 , 78.20 , 3.00 ,1.09566295
1690,1,20090121,AAPL,37626080, 82.83 , 79.31 , 3.00 ,1.09566295
1690,1,20090122,AAPL,49549910, 88.36 , 85.82 , 3.00 ,1.09566295
1690,1,20090123,AAPL,27120330, 88.36 , 86.50 , 3.00 ,1.09566295
1690,1,20090126,AAPL,24720740, 89.64 , 88.30 , 3.00 ,1.09566295
1690,1,20090127,AAPL,21758960, 90.73 , 89.74 , 3.00 ,1.09566295
1690,1,20090128,AAPL,30761060, 94.20 , 91.50 , 3.00 ,1.09566295
1690,1,20090129,AAPL,21062250, 93.00 , 92.60 , 3.00 ,1.09566295
1690,1,20090130,AAPL,23261290, 90.13 , 90.01 , 3.00 ,1.09566295
1690,1,20090202,AAPL,19924910, 91.51 , 88.90 , 3.00 ,1.09566295
1690,1,20090203,AAPL,20816570, 92.98 , 90.28 , 3.00 ,1.09566295
1690,1,20090204,AAPL,28711400, 93.55 , 93.10 , 3.00 ,1.09566295
1690,1,20090205,AAPL,26236060, 96.46 , 92.62 , 3.00 ,1.09566295
1690,1,20090206,AAPL,24079820, 99.72 , 97.00 , 3.00 ,1.09566295
1690,1,20090209,AAPL,25337850, 102.51 , 99.50 , 3.00 ,1.09566295
1690,1,20090210,AAPL,29933410, 97.83 , 97.06 , 3.00 ,1.09566295
1690,1,20090211,AAPL,23963760, 96.82 , 95.77 , 3.00 ,1.09566295
1690,1,20090212,AAPL,28830660, 99.27 , 95.83 , 3.00 ,1.09566295
1690,1,20090213,AAPL,21644260, 99.16 , 98.12 , 3.00 ,1.09566295
1690,1,20090217,AAPL,23583300, 94.53 , 94.28 , 3.00 ,1.09566295
1690,1,20090218,AAPL,24346750, 94.37 , 92.72 , 3.00 ,1.09566295
1690,1,20090219,AAPL,32195670, 90.64 , 90.11 , 3.00 ,1.09566295
1690,1,20090220,AAPL,26779650, 91.20 , 89.00 , 3.00 ,1.09566295
1690,1,20090223,AAPL,26864070, 86.95 , 86.51 , 3.00 ,1.09566295
1690,1,20090224,AAPL,26996760, 90.25 , 87.00 , 3.00 ,1.09566295
1690,1,20090225,AAPL,29191550, 91.16 , 89.25 , 3.00 ,1.09566295
1690,1,20090226,AAPL,22037550, 89.19 , 88.96 , 3.00 ,1.09566295
1690,1,20090227,AAPL,25127500, 89.31 , 87.67 , 3.00 ,1.09566295
1690,1,20090302,AAPL,27260180, 87.94 , 87.67 , 3.00 ,1.09566295
1690,1,20090303,AAPL,25744110, 88.37 , 87.88 , 3.00 ,1.09566295
1690,1,20090304,AAPL,26454980, 91.17 , 89.45 , 3.00 ,1.09566295
1690,1,20090305,AAPL,25181270, 88.84 , 88.45 , 3.00 ,1.09566295
1690,1,20090306,AAPL,36066300, 85.30 , 82.33 , 3.00 ,1.09566295
1690,1,20090309,AAPL,24666360, 83.11 , 82.57 , 3.00 ,1.09566295
1690,1,20090310,AAPL,30087120, 88.63 , 84.36 , 3.00 ,1.09566295
1690,1,20090311,AAPL,30180820, 92.68 , 89.58 , 3.00 ,1.09566295
1690,1,20090312,AAPL,27414800, 96.35 , 92.00 , 3.00 ,1.09566295
1690,1,20090313,AAPL,21456570, 95.93 , 95.01 , 3.00 ,1.09566295
1690,1,20090316,AAPL,28467950, 95.42 , 94.18 , 3.00 ,1.09566295
1690,1,20090317,AAPL,28090490, 99.66 , 95.07 , 3.00 ,1.09566295
1690,1,20090318,AAPL,28420620, 101.52 , 99.72 , 3.00 ,1.09566295
1690,1,20090319,AAPL,17823390, 101.62 , 100.25 , 3.00 ,1.09566295
1690,1,20090320,AAPL,24833170, 101.59 , 100.57 , 3.00 ,1.09566295
1690,1,20090323,AAPL,23510120, 107.66 , 101.75 , 3.00 ,1.09566295
1690,1,20090324,AAPL,22879070, 106.50 , 105.39 , 3.00 ,1.09566295
1690,1,20090325,AAPL,23076630, 106.49 , 103.86 , 3.00 ,1.09566295
1690,1,20090326,AAPL,21919320, 109.87 , 107.58 , 3.00 ,1.09566295
1690,1,20090327,AAPL,17561890, 106.85 , 106.40 , 3.00 ,1.09566295
1690,1,20090330,AAPL,17949090, 104.49 , 102.61 , 3.00 ,1.09566295
1690,1,20090331,AAPL,20337760, 105.12 , 105.00 , 3.00 ,1.09566295
1690,1,20090401,AAPL,21015460, 108.69 , 103.89 , 3.00 ,1.09566295
1690,1,20090402,AAPL,28925970, 112.71 , 109.78 , 3.00 ,1.09566295
1690,1,20090403,AAPL,22614350, 115.99 , 113.52 , 3.00 ,1.09566295
1690,1,20090406,AAPL,23450810, 118.45 , 113.28 , 3.00 ,1.09566295
1690,1,20090407,AAPL,19126060, 115.00 , 114.19 , 3.00 ,1.09566295
1690,1,20090408,AAPL,16249720, 116.32 , 114.58 , 3.00 ,1.09566295
1690,1,20090409,AAPL,18923180, 119.57 , 117.96 , 3.00 ,1.09566295
1690,1,20090413,AAPL,13889790, 120.22 , 119.00 , 3.00 ,1.09566295
1690,1,20090414,AAPL,16212090, 118.31 , 117.25 , 3.00 ,1.09566295
1690,1,20090415,AAPL,14735440, 117.64 , 115.76 , 3.00 ,1.09566295
1690,1,20090416,AAPL,21186140, 121.45 , 118.79 , 3.00 ,1.09566295
1690,1,20090417,AAPL,17759380, 123.42 , 120.25 , 3.00 ,1.09566295
1690,1,20090420,AAPL,16654320, 120.50 , 119.16 , 3.00 ,1.09566295
1690,1,20090421,AAPL,16747290, 121.76 , 118.60 , 3.00 ,1.09566295
1690,1,20090422,AAPL,32464320, 121.51 , 121.20 , 3.00 ,1.09566295
1690,1,20090423,AAPL,33676250, 125.40 , 123.51 , 3.00 ,1.09566295
1690,1,20090424,AAPL,19291400, 123.90 , 122.97 , 3.00 ,1.09566295
1690,1,20090427,AAPL,17167920, 124.73 , 122.66 , 3.00 ,1.09566295
1690,1,20090428,AAPL,16246030, 123.90 , 123.26 , 3.00 ,1.09566295
1690,1,20090429,AAPL,16350210, 125.14 , 123.83 , 3.00 ,1.09566295
1690,1,20090430,AAPL,17780560, 125.83 , 124.92 , 3.00 ,1.09566295
1690,1,20090501,AAPL,14194280, 127.24 , 125.80 , 3.00 ,1.09566295
1690,1,20090504,AAPL,21694490, 132.07 , 127.68 , 3.00 ,1.09566295
1690,1,20090505,AAPL,14215240, 132.71 , 131.12 , 3.00 ,1.09566295
1690,1,20090506,AAPL,16907110, 132.50 , 130.22 , 3.00 ,1.09566295
1690,1,20090507,AAPL,18943130, 129.06 , 127.90 , 3.00 ,1.09566295
1690,1,20090508,AAPL,16710190, 129.19 , 126.26 , 3.00 ,1.09566295
1690,1,20090511,AAPL,14446470, 129.57 , 127.12 , 3.00 ,1.09566295
1690,1,20090512,AAPL,21675000, 124.42 , 123.25 , 3.00 ,1.09566295
1690,1,20090513,AAPL,21182250, 119.49 , 119.38 , 3.00 ,1.09566295
1690,1,20090514,AAPL,15917350, 122.95 , 119.70 , 3.00 ,1.09566295
1690,1,20090515,AAPL,13093110, 122.42 , 121.61 , 3.00 ,1.09566295
1690,1,20090518,AAPL,16334800, 126.65 , 121.57 , 3.00 ,1.09566295
1690,1,20090519,AAPL,13268680, 127.45 , 125.74 , 3.00 ,1.09566295
1690,1,20090520,AAPL,13852690, 125.87 , 125.30 , 3.00 ,1.09566295
1690,1,20090521,AAPL,14549410, 124.18 , 122.89 , 3.00 ,1.09566295
1690,1,20090522,AAPL,10639520, 122.50 , 121.75 , 3.00 ,1.09566295
1690,1,20090526,AAPL,22589690, 130.78 , 124.55 , 3.00 ,1.09566295
1690,1,20090527,AAPL,23080610, 133.05 , 130.91 , 3.00 ,1.09566295
1690,1,20090528,AAPL,17360630, 135.07 , 132.03 , 3.00 ,1.09566295
1690,1,20090529,AAPL,16276120, 135.81 , 133.85 , 3.00 ,1.09566295
1690,1,20090601,AAPL,16090220, 139.35 , 136.00 , 3.00 ,1.09566295
1690,1,20090602,AAPL,16191360, 139.49 , 138.35 , 3.00 ,1.09566295
1690,1,20090603,AAPL,20089850, 140.95 , 139.07 , 3.00 ,1.09566295
1690,1,20090604,AAPL,19518290, 143.74 , 140.04 , 3.00 ,1.09566295
1690,1,20090605,AAPL,22563440, 144.67 , 143.21 , 3.00 ,1.09566295
1690,1,20090608,AAPL,33209460, 143.85 , 139.43 , 3.00 ,1.09566295
1690,1,20090609,AAPL,24118680, 142.72 , 140.55 , 3.00 ,1.09566295
1690,1,20090610,AAPL,24562200, 140.25 , 138.30 , 3.00 ,1.09566295
1690,1,20090611,AAPL,18718670, 139.95 , 138.55 , 3.00 ,1.09566295
1690,1,20090612,AAPL,20062540, 136.97 , 136.04 , 3.00 ,1.09566295
1690,1,20090615,AAPL,19266620, 136.09 , 134.89 , 3.00 ,1.09566295
1690,1,20090616,AAPL,18246920, 136.35 , 136.10 , 3.00 ,1.09566295
1690,1,20090617,AAPL,20372810, 135.58 , 134.53 , 3.00 ,1.09566295
1690,1,20090618,AAPL,15179670, 135.88 , 135.59 , 3.00 ,1.09566295
1690,1,20090619,AAPL,25709330, 139.48 , 136.90 , 3.00 ,1.09566295
1690,1,20090622,AAPL,22597940, 137.37 , 136.33 , 3.00 ,1.09566295
1690,1,20090623,AAPL,25178510, 134.01 , 132.88 , 3.00 ,1.09566295
1690,1,20090624,AAPL,17281880, 136.22 , 134.86 , 3.00 ,1.09566295
1690,1,20090625,AAPL,21006030, 139.86 , 135.21 , 3.00 ,1.09566295
1690,1,20090626,AAPL,15657090, 142.44 , 139.74 , 3.00 ,1.09566295
1690,1,20090629,AAPL,20254500, 141.97 , 141.54 , 3.00 ,1.09566295
1690,1,20090630,AAPL,15496640, 142.43 , 141.80 , 3.00 ,1.09566295
1690,1,20090701,AAPL,14783420, 142.83 , 142.52 , 3.00 ,1.09566295
1690,1,20090702,AAPL,13197410, 140.02 , 139.79 , 3.00 ,1.09566295
1690,1,20090706,AAPL,17778140, 138.61 , 136.25 , 3.00 ,1.09566295
1690,1,20090707,AAPL,16449800, 135.40 , 135.18 , 3.00 ,1.09566295
1690,1,20090708,AAPL,20529880, 137.22 , 134.42 , 3.00 ,1.09566295
1690,1,20090709,AAPL,12244510, 136.36 , 135.93 , 3.00 ,1.09566295
1690,1,20090710,AAPL,15860180, 138.52 , 136.32 , 3.00 ,1.09566295
1690,1,20090713,AAPL,17218280, 142.34 , 137.53 , 3.00 ,1.09566295
1690,1,20090714,AAPL,12365030, 142.27 , 141.16 , 3.00 ,1.09566295
1690,1,20090715,AAPL,17269340, 146.88 , 144.32 , 3.00 ,1.09566295
1690,1,20090716,AAPL,14018560, 147.52 , 145.57 , 3.00 ,1.09566295
1690,1,20090717,AAPL,21470080, 151.75 , 148.63 , 3.00 ,1.09566295
1690,1,20090720,AAPL,26126930, 152.91 , 150.89 , 3.00 ,1.09566295
1690,1,20090721,AAPL,30128720, 151.51 , 149.75 , 3.00 ,1.09566295
1690,1,20090722,AAPL,31197210, 156.74 , 156.11 , 3.00 ,1.09566295
1690,1,20090723,AAPL,18762470, 157.82 , 155.56 , 3.00 ,1.09566295
1690,1,20090724,AAPL,15624630, 159.99 , 156.50 , 3.00 ,1.09566295
1690,1,20090727,AAPL,15439100, 160.10 , 157.26 , 3.00 ,1.09566295
1690,1,20090728,AAPL,12966190, 160.00 , 157.60 , 3.00 ,1.09566295
1690,1,20090729,AAPL,13640820, 160.03 , 158.25 , 3.00 ,1.09566295
