permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
59408,20081231,20090930,20100131,-168.67,0.916,0.661,BAC
59408,20091231,20091231,20100228,-57.448,1.111,0.86,BAC
59408,20091231,20091231,20100331,-61.552,1.19,0.922,BAC
59408,20091231,20091231,20100430,-61.483,1.189,0.921,BAC
59408,20091231,20100331,20100531,-62.96,1.103,0.745,BAC
59408,20091231,20100331,20100630,-57.48,1.007,0.681,BAC
59408,20091231,20100331,20100731,-56.16,0.984,0.665,BAC
59408,20091231,20100630,20100831,-40.194,0.907,0.581,BAC
59408,20091231,20100630,20100930,-42.266,0.954,0.611,BAC
59408,20091231,20100630,20101031,-36.932,0.834,0.534,BAC
59408,20091231,20100930,20101130,-13.519,0.805,0.52,BAC
59408,20091231,20100930,20101231,-16.469,0.981,0.633,BAC
59408,20091231,20100930,20110131,-16.951,1.01,0.652,BAC
59408,20101231,20101231,20110228,-38.622,1.078,0.683,BAC
59408,20101231,20101231,20110331,-36.027,1.005,0.637,BAC
59408,20101231,20101231,20110430,-33.189,0.927,0.588,BAC
59408,20101231,20110331,20110531,-23.98,0.925,0.556,BAC
59408,20101231,20110331,20110630,-22.367,0.863,0.518,BAC
59408,20101231,20110331,20110731,-19.816,0.764,0.459,BAC
59408,20101231,20110630,20110831,-4.922,0.659,0.403,BAC
59408,20101231,20110630,20110930,-3.687,0.494,0.302,BAC
59408,20101231,20110630,20111031,-4.114,0.551,0.337,BAC
59408,20101231,20110930,20111130,-17.548,0.434,0.262,BAC
59408,20101231,20110930,20111231,-17.935,0.444,0.267,BAC
59408,20101231,20110930,20120131,-23,0.592,0.356,BAC
59408,20111231,20111231,20120229,363.333,0.658,0.404,BAC
59408,20111231,20111231,20120331,370,0.793,0.487,BAC
59408,20111231,20111231,20120430,338.9,0.673,0.413,BAC
59408,20111231,20120331,20120531,-45.938,0.638,0.371,BAC
59408,20111231,20120331,20120630,-51.125,0.71,0.412,BAC
59408,20111231,20120331,20120731,-45.875,0.637,0.37,BAC
59408,20111231,20120630,20120831,8.591,0.728,0.396,BAC
59408,20111231,20120630,20120930,9.495,0.804,0.438,BAC
59408,20111231,20120630,20121031,10.022,0.849,0.462,BAC
59408,20111231,20120930,20121130,26.649,0.975,0.483,BAC
59408,20111231,20120930,20121231,31.378,1.148,0.569,BAC
59408,20111231,20120930,20130131,30.595,1.12,0.555,BAC
59408,20121231,20121231,20130228,44.92,1.219,0.557,BAC
59408,20121231,20121231,20130331,48.72,1.322,0.604,BAC
59408,20121231,20121231,20130430,49.24,1.336,0.611,BAC
