permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
70519,20081231,20090930,20100131,-8.019,0.96,0.673,C
70519,20091231,20091231,20100228,-4.474,0.93,0.636,C
70519,20091231,20091231,20100331,-5.329,1.11,0.759,C
70519,20091231,20091231,20100430,-5.75,1.201,0.821,C
70519,20091231,20100331,20100531,488.889,1.094,0.759,C
70519,20091231,20100331,20100630,441.8,1.039,0.721,C
70519,20091231,20100331,20100731,512.5,1.133,0.786,C
70519,20091231,20100630,20100831,-109.09,0.998,0.696,C
70519,20091231,20100630,20100930,-115,1.053,0.733,C
70519,20091231,20100630,20101031,-122.65,1.125,0.784,C
70519,20091231,20100930,20101130,-1161.3,1.117,0.75,C
70519,20091231,20100930,20101231,-1289.3,1.258,0.845,C
70519,20091231,20100930,20110131,-1302,1.283,0.861,C
70519,20101231,20101231,20110228,13.371,1.22,0.833,C
70519,20101231,20101231,20110331,12.629,1.155,0.789,C
70519,20101231,20101231,20110430,13.114,1.203,0.822,C
70519,20101231,20110331,20110531,132.742,1.131,0.7,C
70519,20101231,20110331,20110630,134.323,1.145,0.709,C
70519,20101231,20110331,20110731,123.677,1.058,0.655,C
70519,20101231,20110630,20110831,9.554,0.869,0.515,C
70519,20101231,20110630,20110930,7.882,0.717,0.425,C
70519,20101231,20110630,20111031,9.72,0.886,0.525,C
70519,20101231,20110930,20111130,7.467,0.771,0.454,C
70519,20101231,20110930,20111231,7.149,0.738,0.434,C
70519,20101231,20110930,20120131,8.348,0.862,0.507,C
70519,20111231,20111231,20120229,9.281,0.951,0.55,C
70519,20111231,20111231,20120331,10.181,1.044,0.603,C
70519,20111231,20111231,20120430,9.205,0.944,0.546,C
70519,20111231,20120331,20120531,7.447,0.757,0.428,C
70519,20111231,20120331,20120630,7.699,0.783,0.443,C
70519,20111231,20120331,20120731,7.621,0.775,0.438,C
70519,20111231,20120630,20120831,8.637,0.873,0.475,C
70519,20111231,20120630,20120930,9.512,0.962,0.523,C
70519,20111231,20120630,20121031,10.869,1.099,0.597,C
70519,20111231,20120930,20121130,14.648,1.052,0.544,C
70519,20111231,20120930,20121231,16.763,1.204,0.622,C
70519,20111231,20120930,20130131,17.864,1.326,0.685,C
70519,20121231,20121231,20130228,16.855,1.311,0.682,C
70519,20121231,20121231,20130331,17.767,1.387,0.722,C
70519,20121231,20121231,20130430,18.739,1.464,0.761,C
70519,20121231,20130331,20130531,18.974,1.67,0.832,C
70519,20121231,20130331,20130630,17.507,1.541,0.767,C
70519,20121231,20130331,20130731,19.029,1.674,0.834,C
70519,20121231,20130630,20130831,15.441,1.544,0.767,C
70519,20121231,20130630,20130930,15.498,1.549,0.77,C
70519,20121231,20130630,20131031,15.585,1.554,0.772,C
