permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
10104,20090531,20091130,20100131,20.052,4.976,4.145,ORCL
10104,20090531,20091130,20100228,21.435,5.323,4.434,ORCL
10104,20090531,20091130,20100331,22.357,5.556,4.628,ORCL
10104,20090531,20100228,20100430,23.096,5.381,4.515,ORCL
10104,20090531,20100228,20100531,20.152,4.692,3.937,ORCL
10104,20090531,20100228,20100630,19.161,4.461,3.743,ORCL
10104,20100531,20100531,20100731,19.537,4.43,3.805,ORCL
10104,20100531,20100531,20100831,18.054,4.093,3.516,ORCL
10104,20100531,20100531,20100930,22.19,5.033,4.323,ORCL
10104,20100531,20100831,20101031,23.504,5.046,4.551,ORCL
10104,20100531,20100831,20101130,21.636,4.667,4.209,ORCL
10104,20100531,20100831,20101231,25.04,5.403,4.873,ORCL
10104,20100531,20101130,20110131,24.265,5.058,4.655,ORCL
10104,20100531,20101130,20110228,24.924,5.204,4.79,ORCL
10104,20100531,20101130,20110331,25.328,5.288,4.867,ORCL
10104,20100531,20110228,20110430,23.973,5.297,4.923,ORCL
10104,20100531,20110228,20110531,22.813,5.049,4.691,ORCL
10104,20100531,20110228,20110630,21.94,4.853,4.51,ORCL
10104,20110531,20110531,20110731,18.311,4.349,3.889,ORCL
10104,20110531,20110531,20110831,16.808,3.98,3.559,ORCL
10104,20110531,20110531,20110930,17.21,4.07,3.64,ORCL
10104,20110531,20110831,20111031,18.619,4.53,4.043,ORCL
10104,20110531,20110831,20111130,17.813,4.323,3.858,ORCL
10104,20110531,20110831,20111231,14.574,3.532,3.153,ORCL
10104,20110531,20111130,20120131,15.586,3.863,3.382,ORCL
10104,20110531,20111130,20120229,16.163,3.969,3.475,ORCL
10104,20110531,20111130,20120331,16.11,3.953,3.461,ORCL
10104,20110531,20120229,20120430,15.474,3.955,3.412,ORCL
10104,20110531,20120229,20120531,13.932,3.511,3.028,ORCL
10104,20110531,20120229,20120630,15.632,3.921,3.382,ORCL
10104,20120531,20120531,20120731,15.408,3.972,3.371,ORCL
10104,20120531,20120531,20120831,16.148,4.119,3.496,ORCL
10104,20120531,20120531,20120930,16.051,4.084,3.466,ORCL
10104,20120531,20120831,20121031,15.386,4.056,3.457,ORCL
10104,20120531,20120831,20121130,15.928,4.137,3.526,ORCL
10104,20120531,20120831,20121231,16.495,4.272,3.641,ORCL
10104,20120531,20121130,20130131,16.75,4.516,3.911,ORCL
10104,20120531,20121130,20130228,16.151,4.34,3.759,ORCL
10104,20120531,20121130,20130331,15.25,4.091,3.543,ORCL
10104,20120531,20130228,20130430,15.247,4.146,3.553,ORCL
10104,20120531,20130228,20130531,15.712,4.225,3.621,ORCL
10104,20120531,20130228,20130630,14.284,3.841,3.291,ORCL
10104,20130531,20130531,20130731,14.314,4.029,3.342,ORCL
10104,20130531,20130531,20130831,14.097,3.968,3.292,ORCL
10104,20130531,20130531,20130930,14.677,4.066,3.373,ORCL
10104,20130531,20130831,20131031,14.44,4.085,3.506,ORCL
10104,20130531,20130831,20131130,15.211,4.304,3.694,ORCL
10104,20130531,20130831,20131231,16.491,4.604,3.952,ORCL
10104,20130531,20131130,20140131,15.769,4.419,3.81,ORCL
10104,20130531,20131130,20140228,16.714,4.684,4.038,ORCL
10104,20130531,20131130,20140331,17.483,4.858,4.187,ORCL
10104,20130531,20140228,20140430,17.176,4.809,4.077,ORCL
10104,20130531,20140228,20140531,17.655,4.943,4.191,ORCL
10104,20130531,20140228,20140630,17.029,4.764,4.039,ORCL
10104,20140531,20140531,20140731,16.971,4.701,3.817,ORCL
10104,20140531,20140531,20140831,17.45,4.834,3.925,ORCL
10104,20140531,20140531,20140930,16.084,4.432,3.599,ORCL
10104,20140531,20140831,20141031,16.271,4.495,3.654,ORCL
10104,20140531,20140831,20141130,17.671,4.881,3.969,ORCL
10104,20140531,20140831,20141231,18.738,5.129,4.17,ORCL
10104,20140531,20141130,20150131,17.454,4.738,3.869,ORCL
10104,20140531,20141130,20150228,18.258,4.957,4.047,ORCL
10104,20140531,20141130,20150331,17.979,4.854,3.964,ORCL
10104,20140531,20150228,20150430,18.251,5.277,4.261,ORCL
10104,20140531,20150228,20150531,18.197,4.89,3.949,ORCL
10104,20140531,20150228,20150630,16.862,4.499,3.633,ORCL
10104,20150531,20150531,20150731,18.072,4.531,3.531,ORCL
10104,20150531,20150531,20150831,16.783,4.207,3.279,ORCL
10104,20150531,20150531,20150930,16.344,4.03,3.141,ORCL
10104,20150531,20150831,20151031,18.15,4.35,3.517,ORCL
10104,20150531,20150831,20151130,18.21,4.365,3.529,ORCL
10104,20150531,20150831,20151231,17.07,4.03,3.259,ORCL
10104,20150531,20151130,20160131,17.457,4.071,3.322,ORCL
10104,20150531,20151130,20160229,17.683,4.124,3.365,ORCL
10104,20150531,20151130,20160331,19.668,4.53,3.697,ORCL
10104,20150531,20160229,20160430,19.635,4.452,3.606,ORCL
10104,20150531,20160229,20160531,19.803,4.489,3.637,ORCL
10104,20150531,20160229,20160630,20.163,4.541,3.679,ORCL
10104,20160531,20160531,20160731,19.826,4.567,3.566,ORCL
10104,20160531,20160531,20160831,19.913,4.587,3.582,ORCL
10104,20160531,20160531,20160930,18.976,4.353,3.399,ORCL
10104,20160531,20160831,20161031,18.295,4.241,3.325,ORCL
10104,20160531,20160831,20161130,19.138,4.436,3.479,ORCL
10104,20160531,20160831,20161231,18.31,4.241,3.325,ORCL
10104,20160531,20161130,20170131,19.284,4.419,3.395,ORCL
10104,20160531,20161130,20170228,20.476,4.692,3.605,ORCL
10104,20160531,20161130,20170331,21.447,4.93,3.788,ORCL
10104,20160531,20170228,20170430,21.308,4.943,3.655,ORCL
10104,20160531,20170228,20170531,21.512,4.99,3.69,ORCL
10104,20160531,20170228,20170630,23.763,5.542,4.098,ORCL
10104,20170531,20170531,20170731,22.593,5.475,3.802,ORCL
10104,20170531,20170531,20170831,22.774,5.518,3.833,ORCL
10104,20170531,20170531,20170930,21.878,5.348,3.715,ORCL
10104,20170531,20170831,20171031,22.423,5.556,3.796,ORCL
10104,20170531,20170831,20171130,21.612,5.355,3.659,ORCL
10104,20170531,20170831,20171231,20.828,5.119,3.498,ORCL
10104,20170531,20171130,20180131,22.333,5.505,3.823,ORCL
10104,20170531,20171130,20180228,21.935,5.407,3.754,ORCL
10104,20170531,20171130,20180331,19.805,4.815,3.343,ORCL
10104,20170531,20180228,20180430,55.024,4.749,3.901,ORCL
10104,20170531,20180228,20180531,56.289,4.858,3.991,ORCL
10104,20170531,20180228,20180630,53.084,4.468,3.671,ORCL
10104,20180531,20180531,20180731,52.978,4.766,4.146,ORCL
10104,20180531,20180531,20180831,53.978,4.856,4.224,ORCL
10104,20180531,20180531,20180930,57.289,4.903,4.266,ORCL
10104,20180531,20180831,20181031,54.267,4.687,4.86,ORCL
10104,20180531,20180831,20181130,54.178,4.679,4.852,ORCL
10104,20180531,20180831,20181231,50.167,4.105,4.257,ORCL
10104,20180531,20181130,20190131,50.737,4.57,5.897,ORCL
10104,20180531,20181130,20190228,52.657,4.743,6.12,ORCL
10104,20180531,20181130,20190331,54.253,4.654,6.004,ORCL
10104,20180531,20190228,20190430,20.342,4.802,7.974,ORCL
10104,20180531,20190228,20190531,18.603,4.391,7.292,ORCL
10104,20180531,20190228,20190630,20.945,4.825,8.014,ORCL
10104,20190531,20190531,20190731,18.956,4.754,8.518,ORCL
10104,20190531,20190531,20190831,17.529,4.396,7.876,ORCL
10104,20190531,20190531,20190930,18.529,4.572,8.193,ORCL
10104,20190531,20190831,20191031,17.749,4.525,9.703,ORCL
10104,20190531,20190831,20191130,18.287,4.662,9.997,ORCL
10104,20190531,20190831,20191231,17.257,4.299,9.219,ORCL
13856,20081231,20090930,20100131,17.904,2.187,5.929,PEP
13856,20091231,20091231,20100228,16.57,2.268,5.622,PEP
13856,20091231,20091231,20100331,17.549,2.529,6.268,PEP
13856,20091231,20091231,20100430,17.3,2.433,6.03,PEP
13856,20091231,20100331,20100531,15.962,2.288,3.927,PEP
13856,20091231,20100331,20100630,15.47,2.217,3.806,PEP
13856,20091231,20100331,20100731,16.475,2.329,3.998,PEP
13856,20091231,20100630,20100831,16.627,2.103,4.274,PEP
13856,20091231,20100630,20100930,17.212,2.177,4.424,PEP
13856,20091231,20100630,20101031,16.917,2.132,4.332,PEP
13856,20091231,20100930,20101130,16.321,1.933,4.284,PEP
13856,20091231,20100930,20101231,16.497,1.954,4.33,PEP
13856,20091231,20100930,20110131,16.24,1.924,4.263,PEP
13856,20101231,20101231,20110228,16.22,1.74,3.992,PEP
13856,20101231,20101231,20110331,16.473,1.782,4.09,PEP
13856,20101231,20101231,20110430,17.619,1.883,4.321,PEP
13856,20101231,20110331,20110531,19.067,1.861,4.153,PEP
13856,20101231,20110331,20110630,18.882,1.843,4.113,PEP
13856,20101231,20110331,20110731,17.169,1.678,3.744,PEP
13856,20101231,20110630,20110831,16.394,1.633,3.511,PEP
13856,20101231,20110630,20110930,15.751,1.569,3.373,PEP
13856,20101231,20110630,20111031,16.018,1.576,3.389,PEP
13856,20101231,20110930,20111130,16.04,1.551,3.467,PEP
13856,20101231,20110930,20111231,16.629,1.608,3.594,PEP
13856,20101231,20110930,20120131,16.459,1.592,3.557,PEP
13856,20111231,20111231,20120229,15.618,1.486,3.867,PEP
