permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
10145,20081231,20090930,20100131,13.278,0.935,2.884,HON
10145,20091231,20091231,20100228,14.091,0.993,3.271,HON
10145,20091231,20091231,20100331,15.884,1.12,3.69,HON
10145,20091231,20091231,20100430,16.656,1.177,3.875,HON
10145,20091231,20100331,20100531,14.647,1.061,3.429,HON
10145,20091231,20100331,20100630,13.366,0.969,3.129,HON
10145,20091231,20100331,20100731,14.678,1.072,3.463,HON
10145,20091231,20100630,20100831,12.891,0.966,3.147,HON
10145,20091231,20100630,20100930,14.502,1.086,3.54,HON
10145,20091231,20100630,20101031,15.548,1.177,3.835,HON
10145,20091231,20100930,20101130,16.737,1.224,3.502,HON
10145,20091231,20100930,20101231,17.899,1.309,3.745,HON
10145,20091231,20100930,20110131,18.859,1.38,3.946,HON
10145,20101231,20101231,20110228,22.359,1.361,4.018,HON
10145,20101231,20101231,20110331,23.054,1.405,4.148,HON
10145,20101231,20101231,20110430,23.641,1.444,4.264,HON
10145,20101231,20110331,20110531,21.655,1.4,3.791,HON
10145,20101231,20110331,20110630,21.669,1.401,3.794,HON
10145,20101231,20110331,20110731,19.309,1.241,3.361,HON
10145,20101231,20110630,20110831,15.727,1.08,2.938,HON
10145,20101231,20110630,20110930,14.444,0.992,2.698,HON
10145,20101231,20110630,20111031,17.237,1.17,3.183,HON
10145,20101231,20110930,20111130,17.082,1.17,3.442,HON
10145,20101231,20110930,20111231,17.145,1.174,3.455,HON
10145,20101231,20110930,20120131,18.309,1.254,3.69,HON
10145,20111231,20111231,20120229,25.349,1.264,4.023,HON
10145,20111231,20111231,20120331,25.979,1.297,4.127,HON
10145,20111231,20111231,20120430,25.813,1.294,4.116,HON
10145,20111231,20120331,20120531,22.175,1.167,3.483,HON
10145,20111231,20120331,20120630,22.247,1.171,3.495,HON
10145,20111231,20120331,20120731,23.127,1.219,3.64,HON
10145,20111231,20120630,20120831,21.974,1.216,3.6,HON
10145,20111231,20120630,20120930,22.462,1.243,3.68,HON
10145,20111231,20120630,20121031,23.023,1.279,3.785,HON
10145,20111231,20120930,20121130,20.581,1.279,3.479,HON
10145,20111231,20120930,20121231,21.299,1.324,3.6,HON
10145,20111231,20120930,20130131,22.899,1.423,3.871,HON
10145,20121231,20121231,20130228,18.997,1.459,4.039,HON
10145,20121231,20121231,20130331,20.42,1.565,4.335,HON
10145,20121231,20121231,20130430,19.93,1.536,4.253,HON
10145,20121231,20130331,20130531,20.274,1.638,4.37,HON
10145,20121231,20130331,20130630,20.501,1.656,4.419,HON
10145,20121231,20130331,20130731,21.442,1.728,4.611,HON
10145,20121231,20130630,20130831,19.843,1.646,4.331,HON
10145,20121231,20130630,20130930,20.708,1.718,4.52,HON
10145,20121231,20130630,20131031,21.628,1.794,4.719,HON
10145,20121231,20130930,20131130,21.854,1.816,4.43,HON
10145,20121231,20130930,20131231,22.56,1.874,4.573,HON
10145,20121231,20130930,20140131,22.526,1.872,4.566,HON
10145,20131231,20131231,20140228,19.195,1.896,4.053,HON
10145,20131231,20131231,20140331,18.854,1.857,3.97,HON
10145,20131231,20131231,20140430,18.882,1.863,3.982,HON
10145,20131231,20140331,20140531,18.667,1.851,3.904,HON
10145,20131231,20140331,20140630,18.627,1.847,3.896,HON
10145,20131231,20140331,20140731,18.403,1.824,3.846,HON
10145,20131231,20140630,20140831,18.709,1.865,3.823,HON
10145,20131231,20140630,20140930,18.295,1.823,3.739,HON
10145,20131231,20140630,20141031,18.884,1.883,3.86,HON
10145,20131231,20140930,20141130,18.622,1.918,3.911,HON
10145,20131231,20140930,20141231,18.782,1.935,3.945,HON
10145,20131231,20140930,20150131,18.376,1.893,3.86,HON
10145,20141231,20141231,20150228,19.283,1.996,4.496,HON
10145,20141231,20141231,20150331,19.57,2.02,4.551,HON
10145,20141231,20141231,20150430,18.934,1.957,4.409,HON
10145,20141231,20150331,20150531,19.084,2.045,4.588,HON
10145,20141231,20150331,20150630,18.676,2.001,4.49,HON
10145,20141231,20150331,20150731,19.24,2.061,4.626,HON
10145,20141231,20150630,20150831,17.79,1.972,4.137,HON
10145,20141231,20150630,20150930,16.97,1.881,3.947,HON
10145,20141231,20150630,20151031,18.509,2.022,4.244,HON
10145,20141231,20150930,20151130,18.205,2.061,4.388,HON
10145,20141231,20150930,20151231,18.138,2.054,4.372,HON
10145,20141231,20150930,20160131,18.074,2.046,4.356,HON
10145,20151231,20151231,20160229,16.78,2.021,4.138,HON
10145,20151231,20151231,20160331,18.551,2.211,4.528,HON
10145,20151231,20151231,20160430,18.919,2.257,4.622,HON
10145,20151231,20160331,20160531,18.36,2.231,4.609,HON
10145,20151231,20160331,20160630,18.761,2.279,4.71,HON
10145,20151231,20160331,20160731,18.763,2.276,4.702,HON
10145,20151231,20160630,20160831,18.236,2.271,4.545,HON
10145,20151231,20160630,20160930,18.217,2.268,4.54,HON
10145,20151231,20160630,20161031,17.138,2.138,4.278,HON
10145,20151231,20160930,20161130,17.831,2.21,4.365,HON
10145,20151231,20160930,20161231,18.13,2.247,4.439,HON
10145,20151231,20160930,20170131,18.516,2.295,4.533,HON
10145,20161231,20161231,20170228,20.081,2.411,4.773,HON
10145,20161231,20161231,20170331,20.14,2.417,4.784,HON
10145,20161231,20161231,20170430,21.152,2.544,5.035,HON
10145,20161231,20170331,20170531,20.91,2.582,4.889,HON
10145,20161231,20170331,20170630,20.958,2.587,4.9,HON
10145,20161231,20170331,20170731,21.403,2.636,4.992,HON
10145,20161231,20170630,20170831,21.437,2.672,5.067,HON
10145,20161231,20170630,20170930,21.975,2.739,5.194,HON
10145,20161231,20170630,20171031,22.35,2.79,5.292,HON
10145,20161231,20170930,20171130,23.63,2.995,5.559,HON
10145,20161231,20170930,20171231,23.236,2.925,5.43,HON
10145,20161231,20170930,20180131,24.192,3.046,5.654,HON
10145,20171231,20171231,20180228,70.612,2.803,5.634,HON
10145,20171231,20171231,20180331,67.528,2.668,5.362,HON
10145,20171231,20171231,20180430,67.607,2.666,5.358,HON
10145,20171231,20180331,20180531,70.1,2.666,5.422,HON
10145,20171231,20180331,20180630,68.27,2.597,5.28,HON
10145,20171231,20180331,20180731,75.664,2.861,5.818,HON
10145,20171231,20180630,20180831,79.93,2.794,5.804,HON
10145,20171231,20180630,20180930,83.618,2.923,6.072,HON
10145,20171231,20180630,20181031,72.774,2.536,5.268,HON
10145,20171231,20180930,20181130,43.806,2.531,5.393,HON
10145,20171231,20180930,20181231,39.439,2.279,4.855,HON
10145,20171231,20180930,20190131,42.875,2.478,5.278,HON
10145,20181231,20181231,20190228,17.157,2.687,5.647,HON
10145,20181231,20181231,20190331,17.697,2.769,5.819,HON
10145,20181231,20181231,20190430,19.335,3.023,6.352,HON
10145,20181231,20190331,20190531,18.216,2.968,5.8,HON
10145,20181231,20190331,20190630,19.356,3.153,6.163,HON
10145,20181231,20190331,20190731,19.12,3.08,6.019,HON
10145,20181231,20190630,20190831,17.439,3.067,6.046,HON
10145,20181231,20190630,20190930,17.924,3.152,6.214,HON
10145,20181231,20190630,20191031,18.298,3.196,6.3,HON
10145,20181231,20190930,20191130,20.859,3.454,6.551,HON
10145,20181231,20190930,20191231,20.678,3.424,6.494,HON
12052,20081231,20090930,20100131,10.713,0.807,2.137,GD
12052,20091231,20091231,20100228,11.702,0.875,2.162,GD
12052,20091231,20091231,20100331,12.452,0.931,2.301,GD
12052,20091231,20091231,20100430,12.316,0.921,2.276,GD
12052,20091231,20100331,20100531,10.934,0.832,1.968,GD
12052,20091231,20100331,20100630,9.43,0.718,1.697,GD
12052,20091231,20100331,20100731,9.863,0.74,1.75,GD
12052,20091231,20100630,20100831,8.911,0.675,1.597,GD
12052,20091231,20100630,20100930,10.018,0.759,1.795,GD
12052,20091231,20100630,20101031,10.864,0.818,1.934,GD
12052,20091231,20100930,20101130,10.183,0.786,1.771,GD
12052,20091231,20100930,20101231,10.934,0.844,1.901,GD
12052,20091231,20100930,20110131,11.618,0.883,1.99,GD
12052,20101231,20101231,20110228,11.161,0.874,2.096,GD
12052,20101231,20101231,20110331,11.226,0.88,2.112,GD
12052,20101231,20101231,20110430,10.677,0.834,2.001,GD
12052,20101231,20110331,20110531,10.71,0.849,1.959,GD
12052,20101231,20110331,20110630,10.753,0.853,1.967,GD
12052,20101231,20110331,20110731,9.833,0.758,1.749,GD
12052,20101231,20110630,20110831,9.102,0.718,1.638,GD
12052,20101231,20110630,20110930,8.081,0.637,1.454,GD
12052,20101231,20110630,20111031,9.118,0.751,1.713,GD
12052,20101231,20110930,20111130,9.213,0.732,1.666,GD
12052,20101231,20110930,20111231,9.262,0.736,1.675,GD
12052,20101231,20110930,20120131,9.646,0.767,1.746,GD
12052,20111231,20111231,20120229,10.552,0.8,1.95,GD
12052,20111231,20111231,20120331,10.573,0.807,1.969,GD
12052,20111231,20111231,20120430,9.726,0.744,1.815,GD
12052,20111231,20120331,20120531,9.317,0.711,1.642,GD
12052,20111231,20120331,20120630,9.601,0.733,1.692,GD
12052,20111231,20120331,20120731,9.234,0.69,1.592,GD
12052,20111231,20120630,20120831,9.564,0.711,1.668,GD
12052,20111231,20120630,20120930,9.653,0.718,1.684,GD
12052,20111231,20120630,20121031,9.939,0.74,1.735,GD
12052,20111231,20120930,20121130,9.896,0.721,1.625,GD
12052,20111231,20120930,20121231,10.308,0.751,1.693,GD
12052,20111231,20120930,20130131,9.866,0.72,1.623,GD
12052,20121231,20121231,20130228,-72.309,0.758,2.083,GD
12052,20121231,20121231,20130331,-75.011,0.788,2.164,GD
12052,20121231,20121231,20130430,-78.681,0.824,2.265,GD
12052,20121231,20130331,20130531,-78.673,0.864,2.325,GD
12052,20121231,20130331,20130630,-79.929,0.878,2.362,GD
12052,20121231,20130331,20130731,-87.082,0.948,2.549,GD
12052,20121231,20130630,20130831,-88.564,0.93,2.449,GD
12052,20121231,20130630,20130930,-93.106,0.977,2.575,GD
12052,20121231,20130630,20131031,-92.16,0.974,2.566,GD
12052,20121231,20130930,20131130,-114.58,1.037,2.535,GD
12052,20121231,20130930,20131231,-119.44,1.081,2.642,GD
12052,20121231,20130930,20140131,-126.64,1.15,2.811,GD
12052,20131231,20131231,20140228,15.582,1.201,2.561,GD
12052,20131231,20131231,20140331,15.494,1.201,2.56,GD
12052,20131231,20131231,20140430,15.569,1.202,2.564,GD
12052,20131231,20140331,20140531,16.59,1.315,2.937,GD
12052,20131231,20140331,20140630,16.369,1.298,2.898,GD
12052,20131231,20140331,20140731,16.4,1.268,2.832,GD
12052,20131231,20140630,20140831,17.118,1.35,3.119,GD
12052,20131231,20140630,20140930,17.651,1.392,3.216,GD
12052,20131231,20140630,20141031,19.411,1.517,3.506,GD
12052,20131231,20140930,20141130,19.643,1.577,3.677,GD
12052,20131231,20140930,20141231,18.597,1.493,3.481,GD
12052,20131231,20140930,20150131,18.001,1.449,3.377,GD
12052,20141231,20141231,20150228,17.724,1.492,3.865,GD
12052,20141231,20141231,20150331,17.335,1.453,3.763,GD
12052,20141231,20141231,20150430,17.538,1.463,3.79,GD
12052,20141231,20150331,20150531,16.969,1.469,3.97,GD
12052,20141231,20150331,20150630,17.154,1.485,4.014,GD
12052,20141231,20150331,20150731,18.052,1.534,4.147,GD
12052,20141231,20150630,20150831,16.42,1.442,4.033,GD
12052,20141231,20150630,20150930,15.948,1.401,3.917,GD
12052,20141231,20150630,20151031,17.177,1.478,4.133,GD
12052,20141231,20150930,20151130,16.512,1.446,4.281,GD
12052,20141231,20150930,20151231,15.486,1.356,4.015,GD
12052,20141231,20150930,20160131,15.081,1.307,3.871,GD
12052,20151231,20151231,20160229,15.008,1.347,3.921,GD
12052,20151231,20151231,20160331,14.468,1.299,3.78,GD
12052,20151231,20151231,20160430,15.476,1.365,3.972,GD
12052,20151231,20160331,20160531,15.711,1.392,4.065,GD
12052,20151231,20160331,20160630,15.42,1.366,3.99,GD
12052,20151231,20160331,20160731,16.267,1.439,4.204,GD
12052,20151231,20160630,20160831,16.783,1.496,4.194,GD
12052,20151231,20160630,20160930,17.107,1.525,4.275,GD
12052,20151231,20160630,20161031,16.62,1.478,4.143,GD
12052,20151231,20160930,20161130,19.185,1.738,4.682,GD
12052,20151231,20160930,20161231,18.891,1.712,4.61,GD
12052,20151231,20160930,20170131,19.812,1.783,4.802,GD
12052,20161231,20161231,20170228,19.231,1.833,5.201,GD
12052,20161231,20161231,20170331,18.967,1.811,5.14,GD
12052,20161231,20161231,20170430,19.634,1.865,5.292,GD
12052,20161231,20170331,20170531,22.508,2.009,5.693,GD
12052,20161231,20170331,20170630,21.938,1.958,5.549,GD
12052,20161231,20170331,20170731,21.742,1.926,5.459,GD
12052,20161231,20170630,20170831,21.91,1.982,5.406,GD
12052,20161231,20170630,20170930,22.37,2.023,5.519,GD
12052,20161231,20170630,20171031,22.087,1.992,5.434,GD
12052,20161231,20170930,20171130,22.18,2.038,5.253,GD
12052,20161231,20170930,20171231,21.783,2.002,5.159,GD
12052,20161231,20170930,20180131,23.82,2.176,5.609,GD
12052,20171231,20171231,20180228,23.269,2.133,5.656,GD
12052,20171231,20171231,20180331,23.107,2.126,5.638,GD
12052,20171231,20171231,20180430,21.058,1.931,5.12,GD
12052,20171231,20180331,20180531,20.752,1.929,4.983,GD
12052,20171231,20180331,20180630,19.178,1.782,4.605,GD
12052,20171231,20180331,20180731,20.551,1.905,4.923,GD
12052,20171231,20180630,20180831,19.555,1.759,4.552,GD
12052,20171231,20180630,20180930,20.7,1.862,4.818,GD
12052,20171231,20180630,20181031,17.45,1.569,4.06,GD
12052,20171231,20180930,20181130,18.02,1.606,4.117,GD
12052,20171231,20180930,20181231,15.323,1.366,3.501,GD
12052,20171231,20180930,20190131,16.683,1.45,3.716,GD
12052,20181231,20181231,20190228,15.171,1.356,3.986,GD
12052,20181231,20181231,20190331,15.087,1.351,3.971,GD
12052,20181231,20181231,20190430,15.929,1.426,4.194,GD
12052,20181231,20190331,20190531,14.436,1.225,3.636,GD
12052,20181231,20190331,20190630,16.321,1.385,4.11,GD
12052,20181231,20190331,20190731,16.691,1.416,4.203,GD
12052,20181231,20190630,20190831,16.942,1.443,4.109,GD
12052,20181231,20190630,20190930,16.185,1.379,3.925,GD
12052,20181231,20190630,20191031,15.66,1.336,3.804,GD
12052,20181231,20190930,20191130,15.749,1.35,3.745,GD
12052,20181231,20190930,20191231,15.282,1.31,3.634,GD
12060,20081231,20090930,20100131,14.486,1.065,1.394,GE
12060,20091231,20091231,20100228,15.592,1.1,1.434,GE
12060,20091231,20091231,20100331,17.67,1.247,1.626,GE
