gvkey,iid,datadate,tic,cshtrd,prccd,prchd,prcld
1078,1,20100104,ABT,5195706,54.46,54.555,53.92
1078,1,20100105,ABT,5067284,54.02,54.47,53.75
1078,1,20100106,ABT,5470364,54.32,54.39,53.85
1078,1,20100107,ABT,6169746,54.77,54.78,54.07
1078,1,20100108,ABT,5828753,55.05,55.25,54.68
1078,1,20100111,ABT,5252478,55.33,55.48,55.07
1078,1,20100112,ABT,5247305,55.17,55.55,55.03
1078,1,20100113,ABT,5051448,55.29,55.54,54.85
1078,1,20100114,ABT,4309726,55.35,55.62,55
1078,1,20100115,ABT,7740034,55.49,55.57,55.16
1078,1,20100119,ABT,7989820,56.2,56.5,55.51
1078,1,20100120,ABT,6755803,56.24,56.79,55.61
1078,1,20100121,ABT,8304856,55.56,56.5,55
1078,1,20100122,ABT,6997153,54.51,55.656,54.4
1078,1,20100125,ABT,4850418,54.7,55.51,54.53
1078,1,20100126,ABT,6628189,54.48,54.67,54.26
1078,1,20100127,ABT,11566890,53.9,54.14,53.15
1078,1,20100128,ABT,6642309,53.95,54.45,53.64
1078,1,20100129,ABT,9515406,52.94,54.08,52.89
1078,1,20100201,ABT,8806917,53.34,53.69,53.08
1078,1,20100202,ABT,8259322,54.44,54.6,53.2
1078,1,20100203,ABT,6793328,54.65,54.78,54.1
1078,1,20100204,ABT,9197478,53.82,54.75,53.79
1078,1,20100205,ABT,10817530,53.97,54.13,53.3
1078,1,20100208,ABT,7130138,53.35,53.95,53.31
1078,1,20100209,ABT,11145420,53.35,53.98,53.34
1078,1,20100210,ABT,7426938,53.26,53.49,52.67
1078,1,20100211,ABT,6435699,53.54,53.71,52.93
1078,1,20100212,ABT,8428125,53.93,54,53.11
1078,1,20100216,ABT,7553060,54.59,54.675,53.77
1078,1,20100217,ABT,6370221,54.75,54.98,54.57
1078,1,20100218,ABT,5357746,54.97,55,54.67
1078,1,20100219,ABT,9652055,54.38,54.89,54.08
1078,1,20100222,ABT,5741311,54.4,54.52,53.96
1078,1,20100223,ABT,6702054,53.97,54.47,53.75
1078,1,20100224,ABT,6784961,54.33,54.54,53.91
1078,1,20100225,ABT,5904284,54.12,54.19,53.61
1078,1,20100226,ABT,7041105,54.28,54.53,53.85
1078,1,20100301,ABT,4558884,54.29,54.652,54.14
1078,1,20100302,ABT,4999197,54.58,54.7,54.13
1078,1,20100303,ABT,6704938,54.08,54.84,53.92
1078,1,20100304,ABT,6361596,54.08,54.5,53.91
1078,1,20100305,ABT,7336993,54.32,54.39,54.12
1078,1,20100308,ABT,4311691,54.42,54.55,54.12
1078,1,20100309,ABT,5894888,54.8,54.96,54.13
1078,1,20100310,ABT,8157039,55.03,55.55,54.72
1078,1,20100311,ABT,5711680,55.54,55.55,54.85
1078,1,20100312,ABT,16230970,54.52,55.05,53.72
1078,1,20100315,ABT,7391493,54.8,54.8,54.12
1078,1,20100316,ABT,5959788,54.68,54.99,54.47
1078,1,20100317,ABT,7372681,54.5,54.88,54.3
1078,1,20100318,ABT,15374320,53.77,54.54,53.61
1078,1,20100319,ABT,16328400,53.46,53.9,53.19
1078,1,20100322,ABT,7514244,53.87,54.23,53.3
1078,1,20100323,ABT,4656161,54.34,54.39,53.82
1078,1,20100324,ABT,6336021,53.87,54.33,53.76
1078,1,20100325,ABT,8510743,53.52,54.31,53.5
1078,1,20100326,ABT,12002540,52.9,53.78,52.44
1078,1,20100329,ABT,10557360,53.12,53.15,52.73
1078,1,20100330,ABT,13429010,52.51,53.26,52.49
1078,1,20100331,ABT,7614461,52.68,52.99,52.21
1078,1,20100401,ABT,6186719,52.96,52.97,52.58
1078,1,20100405,ABT,5340371,52.93,53.25,52.7
1078,1,20100406,ABT,7246068,52.84,53.12,52.58
1078,1,20100407,ABT,9872193,52.5,52.93,52.38
1078,1,20100408,ABT,7250310,52.28,52.69,52.2
1078,1,20100409,ABT,5583520,52.73,52.85,52.28
1078,1,20100412,ABT,6455561,52.67,53,52.39
1078,1,20100413,ABT,6929212,52.28,52.48,52.16
1078,1,20100414,ABT,9130166,52.31,52.46,51.93
1078,1,20100415,ABT,7202682,52.36,52.45,52.07
1078,1,20100416,ABT,7948357,52.26,52.46,52.02
1078,1,20100419,ABT,9083569,52.91,53.13,52.065
1078,1,20100420,ABT,6381965,53.06,53.25,52.92
1078,1,20100421,ABT,12521810,51.78,52.95,51.47
1078,1,20100422,ABT,8059584,51.12,51.61,50.84
1078,1,20100423,ABT,9195069,51.2,51.21,50.27
1078,1,20100426,ABT,9431607,50.37,51.77,50.06
1078,1,20100427,ABT,10448680,49.77,50.56,49.68
1078,1,20100428,ABT,9310247,50.27,50.42,49.41
1078,1,20100429,ABT,9272169,50.75,51.13,50.34
1078,1,20100430,ABT,10704110,51.16,51.5,50.63
1078,1,20100503,ABT,8797618,50.87,51.59,50.545
1078,1,20100504,ABT,10417260,50.19,50.86,49.72
1078,1,20100505,ABT,10729810,50.15,51.07,49.75
1078,1,20100506,ABT,12495290,49,50.38,45.6
1078,1,20100507,ABT,12054970,48.72,49.16,48
1078,1,20100510,ABT,10271600,49.69,50.23,49.24
1078,1,20100511,ABT,8564943,49.4,49.73,49.24
1078,1,20100512,ABT,8844602,49.15,49.59,48.89
1078,1,20100513,ABT,9183189,48.61,49.11,48.21
1078,1,20100514,ABT,10008870,48.5,48.61,47.78
1078,1,20100517,ABT,7430326,48.43,48.77,47.88
1078,1,20100518,ABT,6968668,48.05,48.93,48
1078,1,20100519,ABT,9187858,47.94,48.35,47.81
1078,1,20100520,ABT,10861210,46.48,47.47,46.47
1078,1,20100521,ABT,16544710,46.94,46.98,45.26
1078,1,20100524,ABT,12938270,47.56,48.045,46.87
1078,1,20100525,ABT,12669100,47.23,47.25,46.31
1078,1,20100526,ABT,12253020,47.17,48,46.94
