permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
13721,20121231,20121231,20130331,12.358,3.512,17.339,
13721,20121231,20121231,20130430,13.955,3.966,19.58,
13721,20121231,20130331,20130531,12.781,3.647,22.864,ABBV
13721,20121231,20130331,20130630,12.377,3.532,22.141,ABBV
13721,20121231,20130331,20130731,13.617,3.886,24.358,ABBV
13721,20121231,20130630,20130831,13.233,3.606,18.987,ABBV
13721,20121231,20130630,20130930,13.891,3.785,19.931,ABBV
13721,20121231,20130630,20131031,15.047,4.1,21.589,ABBV
13721,20121231,20130930,20131130,17.181,4.081,21.548,ABBV
13721,20121231,20130930,20131231,18.727,4.449,23.487,ABBV
13721,20121231,20130930,20140131,17.457,4.147,21.895,ABBV
13721,20131231,20131231,20140228,19.887,4.304,15.976,ABBV
13721,20131231,20131231,20140331,20.078,4.366,16.206,ABBV
13721,20131231,20131231,20140430,20.344,4.424,16.421,ABBV
13721,20131231,20140331,20140531,21.14,4.541,18.392,ABBV
13721,20131231,20140331,20140630,21.961,4.717,19.107,ABBV
13721,20131231,20140331,20140731,20.366,4.375,17.719,ABBV
13721,20131231,20140630,20140831,21.344,4.569,16.863,ABBV
13721,20131231,20140630,20140930,22.301,4.774,17.619,ABBV
13721,20131231,20140630,20141031,24.502,5.245,19.358,ABBV
13721,20131231,20140930,20141130,30.087,5.62,23.736,ABBV
13721,20131231,20140930,20141231,28.452,5.314,22.446,ABBV
13721,20131231,20140930,20150131,26.239,4.901,20.7,ABBV
13721,20141231,20141231,20150228,55,4.831,36.791,ABBV
13721,20141231,20141231,20150331,53.218,4.67,39.294,ABBV
13721,20141231,20141231,20150430,58.782,5.158,36.851,ABBV
13721,20141231,20150331,20150531,59.991,5.191,48.658,ABBV
13721,20141231,20150331,20150630,60.532,5.237,51.622,ABBV
13721,20141231,20150331,20150731,63.072,5.457,48.042,ABBV
13721,20141231,20150630,20150831,49.142,4.923,8.934,ABBV
13721,20141231,20150630,20150930,42.843,4.292,7.789,ABBV
13721,20141231,20150630,20151031,46.89,4.697,8.525,ABBV
13721,20141231,20150930,20151130,34.206,4.338,8.754,ABBV
13721,20141231,20150930,20151231,34.847,4.42,8.918,ABBV
13721,20141231,20150930,20160131,32.294,4.096,8.265,ABBV
13721,20151231,20151231,20160229,17.447,3.849,9.542,ABBV
13721,20151231,20151231,20160331,18.249,4.042,10.021,ABBV
