permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
11703,20081231,20090930,20100131,44.068,1.105,3.899,DD
11703,20091231,20091231,20100228,17.563,1.118,4.311,DD
11703,20091231,20091231,20100331,19.396,1.237,4.77,DD
11703,20091231,20091231,20100430,20.75,1.324,5.106,DD
11703,20091231,20100331,20100531,13.753,1.136,4.163,DD
11703,20091231,20100331,20100630,13.152,1.086,3.981,DD
11703,20091231,20100331,20100731,15.464,1.278,4.683,DD
11703,20091231,20100630,20100831,11.886,1.215,4.241,DD
11703,20091231,20100630,20100930,13.009,1.33,4.642,DD
11703,20091231,20100630,20101031,13.784,1.419,4.953,DD
11703,20091231,20100930,20101130,13.944,1.37,4.718,DD
11703,20091231,20100930,20101231,14.801,1.454,5.008,DD
11703,20091231,20100930,20110131,15.039,1.478,5.089,DD
11703,20101231,20101231,20110228,16.729,1.574,5.544,DD
11703,20101231,20101231,20110331,16.759,1.585,5.583,DD
11703,20101231,20101231,20110430,17.314,1.641,5.782,DD
11703,20101231,20110331,20110531,14.847,1.477,4.619,DD
11703,20101231,20110331,20110630,15.056,1.498,4.684,DD
11703,20101231,20110331,20110731,14.323,1.425,4.456,DD
11703,20101231,20110630,20110831,14.197,1.361,3.473,DD
11703,20101231,20110630,20110930,11.756,1.127,2.876,DD
11703,20101231,20110630,20111031,14.138,1.343,3.427,DD
11703,20101231,20110930,20111130,14.077,1.29,3.544,DD
11703,20101231,20110930,20111231,13.504,1.238,3.4,DD
11703,20101231,20110930,20120131,15.012,1.376,3.779,DD
11703,20111231,20111231,20120229,13.818,1.233,5.085,DD
11703,20111231,20111231,20120331,14.375,1.287,5.306,DD
11703,20111231,20111231,20120430,14.527,1.303,5.374,DD
11703,20111231,20120331,20120531,14.804,1.319,4.181,DD
11703,20111231,20120331,20120630,15.512,1.382,4.381,DD
11703,20111231,20120331,20120731,15.245,1.349,4.275,DD
11703,20111231,20120630,20120831,14.94,1.287,4.076,DD
11703,20111231,20120630,20120930,15.096,1.301,4.119,DD
11703,20111231,20120630,20121031,13.369,1.154,3.656,DD
11703,20111231,20120930,20121130,14.927,1.145,3.521,DD
11703,20111231,20120930,20121231,15.563,1.193,3.671,DD
11703,20111231,20120930,20130131,16.419,1.259,3.873,DD
11703,20121231,20121231,20130228,18.352,1.277,4.193,DD
11703,20121231,20121231,20130331,18.835,1.289,4.234,DD
11703,20121231,20121231,20130430,20.885,1.432,4.702,DD
11703,20121231,20130331,20130531,21.708,1.457,3.969,DD
11703,20121231,20130331,20130630,20.428,1.371,3.735,DD
11703,20121231,20130331,20130731,22.447,1.512,4.118,DD
11703,20121231,20130630,20130831,22.379,1.485,3.747,DD
11703,20121231,20130630,20130930,23.146,1.536,3.875,DD
11703,20121231,20130630,20131031,24.19,1.61,4.062,DD
11703,20121231,20130930,20131130,21.537,1.599,3.9,DD
11703,20121231,20130930,20131231,22.796,1.693,4.128,DD
11703,20121231,20130930,20140131,21.407,1.589,3.876,DD
11703,20131231,20131231,20140228,21.914,1.72,3.661,DD
11703,20131231,20131231,20140331,22.072,1.711,3.642,DD
11703,20131231,20131231,20140430,22.145,1.72,3.662,DD
11703,20131231,20140331,20140531,22.286,1.785,3.725,DD
11703,20131231,20140331,20140630,21.042,1.686,3.517,DD
11703,20131231,20140331,20140731,20.678,1.651,3.445,DD
11703,20131231,20140630,20140831,23.035,1.873,3.409,DD
11703,20131231,20140630,20140930,25.003,2.033,3.7,DD
11703,20131231,20140630,20141031,24.094,1.94,3.529,DD
11703,20131231,20140930,20141130,24.203,2.123,3.905,DD
11703,20131231,20140930,20141231,25.064,2.199,4.044,DD
11703,20131231,20140930,20150131,24.139,2.117,3.895,DD
11703,20141231,20141231,20150228,19.962,2.019,5.102,DD
11703,20141231,20141231,20150331,18.326,1.855,4.686,DD
11703,20141231,20141231,20150430,18.769,1.898,4.796,DD
11703,20141231,20150331,20150531,23.99,2.447,4.924,DD
11703,20141231,20150331,20150630,21.605,2.204,4.435,DD
11703,20141231,20150331,20150731,18.838,1.921,3.865,DD
11703,20141231,20150630,20150831,16.297,1.734,3.371,DD
11703,20141231,20150630,20150930,15.253,1.623,3.155,DD
11703,20141231,20150630,20151031,20.063,2.068,4.019,DD
11703,20141231,20150930,20151130,22.75,2.285,5.303,DD
11703,20141231,20150930,20151231,22.5,2.26,5.245,DD
11703,20141231,20150930,20160131,17.824,1.79,4.155,DD
11703,20151231,20151231,20160229,29.124,2.1,5.253,DD
11703,20151231,20151231,20160331,30.297,2.184,5.464,DD
11703,20151231,20151231,20160430,31.536,2.279,5.7,DD
11703,20151231,20160331,20160531,28.073,2.298,5.405,DD
11703,20151231,20160331,20160630,27.811,2.278,5.357,DD
11703,20151231,20160331,20160731,29.687,2.433,5.72,DD
11703,20151231,20160630,20160831,28.642,2.454,5.79,DD
11703,20151231,20160630,20160930,27.56,2.362,5.571,DD
11703,20151231,20160630,20161031,28.309,2.412,5.69,DD
11703,20151231,20160930,20161130,32.004,2.576,6.47,DD
11703,20151231,20160930,20161231,31.913,2.569,6.452,DD
11703,20151231,20160930,20170131,32.826,2.643,6.637,DD
11703,20161231,20161231,20170228,27.558,2.742,6.685,DD
11703,20161231,20161231,20170331,28.186,2.805,6.838,DD
11703,20161231,20161231,20170430,27.982,2.792,6.808,DD
11703,20161231,20170331,20170531,26.483,2.727,5.904,DD
11703,20161231,20170331,20170630,27.084,2.789,6.038,DD
11703,20161231,20170331,20170731,27.587,2.843,6.156,DD
11703,20161231,20170630,20170831,29.975,2.861,5.819,DD
13407,20111231,20120331,20120731,47.196,3.627,3.145,
13407,20111231,20120630,20120831,66.881,2.815,0.915,FB
13407,20111231,20120630,20120930,80.222,4.75,1.544,FB
13407,20111231,20120630,20121031,78.185,4.63,1.505,FB
13407,20111231,20120930,20121130,200,5.733,1.875,FB
13407,20111231,20120930,20121231,190.141,9.597,3.138,FB
13407,20111231,20120930,20130131,221.293,11.257,3.681,FB
13407,20121231,20121231,20130228,302.5,9.018,3.904,FB
13407,20121231,20121231,20130331,303.571,8.749,3.788,FB
13407,20121231,20121231,20130430,288,9.547,4.133,FB
13407,20121231,20130331,20130531,415,7.761,3.603,FB
13407,20121231,20130331,20130630,438.25,8.218,3.815,FB
