permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
15488,20141231,20150630,20150930,35.273,4.406,2.975,
15488,20141231,20150630,20151031,40.92,5.114,3.453,
15488,20141231,20150930,20151130,37.914,4.848,3.26,PYPL
15488,20141231,20150930,20151231,38.925,4.987,3.353,PYPL
15488,20141231,20150930,20160131,38.86,4.979,3.348,PYPL
15488,20151231,20151231,20160229,38.14,5.042,3.123,PYPL
15488,20151231,20151231,20160331,38.6,5.042,3.122,PYPL
15488,20151231,20151231,20160430,39.18,5.135,3.18,PYPL
15488,20151231,20160331,20160531,34.67,4.744,3.368,PYPL
15488,20151231,20160331,20160630,33.495,4.564,3.241,PYPL
15488,20151231,20160331,20160731,34.165,4.655,3.305,PYPL
15488,20151231,20160630,20160831,33.773,4.48,3.245,PYPL
15488,20151231,20160630,20160930,37.245,4.937,3.576,PYPL
15488,20151231,20160630,20161031,37.873,5.023,3.638,PYPL
15488,20151231,20160930,20161130,34.761,4.55,3.34,PYPL
15488,20151231,20160930,20161231,34.929,4.573,3.357,PYPL
15488,20151231,20160930,20170131,35.204,4.609,3.383,PYPL
15488,20161231,20161231,20170228,36.522,4.678,3.184,PYPL
15488,20161231,20161231,20170331,37.409,4.746,3.23,PYPL
15488,20161231,20161231,20170430,41.496,5.287,3.599,PYPL
15488,20161231,20170331,20170531,44.246,5.564,4.288,PYPL
15488,20161231,20170331,20170630,45.483,5.723,4.411,PYPL
15488,20161231,20170331,20170731,49.619,6.245,4.813,PYPL
15488,20161231,20170630,20170831,49.742,6.307,4.945,PYPL
15488,20161231,20170630,20170930,51.637,6.545,5.132,PYPL
15488,20161231,20170630,20171031,58.516,7.416,5.815,PYPL
15488,20161231,20170930,20171130,59.164,7.381,5.898,PYPL
15488,20161231,20170930,20171231,57.516,7.164,5.725,PYPL
15488,20161231,20170930,20180131,66.656,8.303,6.635,PYPL
15488,20171231,20171231,20180228,54.02,7.3,5.955,PYPL
15488,20171231,20171231,20180331,51.612,6.875,5.609,PYPL
15488,20171231,20171231,20180430,50.755,6.786,5.536,PYPL
15488,20171231,20180331,20180531,52.274,7.079,6.656,PYPL
15488,20171231,20180331,20180630,53.038,7.162,6.734,PYPL
15488,20171231,20180331,20180731,52.318,7.063,6.641,PYPL
15488,20171231,20180630,20180831,55.287,7.544,7.277,PYPL
15488,20171231,20180630,20180930,52.599,7.143,6.89,PYPL
15488,20171231,20180630,20181031,50.413,6.848,6.605,PYPL
15488,20171231,20180930,20181130,49.89,6.773,6.69,PYPL
15488,20171231,20180930,20181231,48.89,6.612,6.531,PYPL
15488,20171231,20180930,20190131,51.605,6.975,6.889,PYPL
15488,20181231,20181231,20190228,57.351,7.447,7.425,PYPL
15488,20181231,20181231,20190331,60.725,7.878,7.855,PYPL
15488,20181231,20181231,20190430,65.947,8.575,8.551,PYPL
15488,20181231,20190331,20190531,59.324,8.113,8.508,PYPL
15488,20181231,20190331,20190630,61.87,8.476,8.888,PYPL
15488,20181231,20190331,20190731,59.676,8.173,8.571,PYPL
15488,20181231,20190630,20190831,51.929,7.852,7.951,PYPL
15488,20181231,20190630,20190930,49.329,7.442,7.535,PYPL
15488,20181231,20190630,20191031,49.571,7.48,7.574,PYPL
15488,20181231,20190930,20191130,50.709,7.444,7.694,PYPL
15488,20181231,20190930,20191231,50.784,7.455,7.706,PYPL
18411,20081231,20090930,20100131,16,1.636,1.241,SO
18411,20091231,20091231,20100228,15.422,1.656,1.197,SO
18411,20091231,20091231,20100331,16.097,1.728,1.249,SO
18411,20091231,20091231,20100430,16.777,1.811,1.309,SO
18411,20091231,20100331,20100531,13.08,1.661,1.21,SO
18411,20091231,20100331,20100630,13.312,1.69,1.232,SO
18411,20091231,20100331,20100731,14.132,1.809,1.318,SO
18411,20091231,20100630,20100831,14.618,1.841,1.342,SO
18411,20091231,20100630,20100930,14.837,1.869,1.362,SO
18411,20091231,20100630,20101031,15.088,1.9,1.385,SO
18411,20091231,20100930,20101130,15.088,1.822,1.33,SO
18411,20091231,20100930,20101231,15.292,1.847,1.348,SO
18411,20091231,20100930,20110131,15.048,1.817,1.326,SO
18411,20101231,20101231,20110228,16.148,1.814,1.305,SO
18411,20101231,20101231,20110331,16.148,1.814,1.305,SO
18411,20101231,20101231,20110430,16.542,1.9,1.367,SO
18411,20101231,20110331,20110531,17.813,1.966,1.38,SO
18411,20101231,20110331,20110630,17.947,1.981,1.39,SO
18411,20101231,20110331,20110731,17.573,1.94,1.361,SO
18411,20101231,20110630,20110831,17.6,2.013,1.383,SO
18411,20101231,20110630,20110930,18.03,2.062,1.417,SO
18411,20101231,20110630,20111031,18.383,2.102,1.445,SO
18411,20101231,20110930,20111130,17.996,2.134,1.411,SO
18411,20101231,20110930,20111231,18.971,2.25,1.487,SO
18411,20101231,20110930,20120131,18.672,2.215,1.464,SO
18411,20111231,20111231,20120229,17.329,2.157,1.411,SO
18411,20111231,20111231,20120331,17.62,2.193,1.434,SO
18411,20111231,20111231,20120430,18.016,2.262,1.479,SO
18411,20111231,20120331,20120531,18.512,2.312,1.458,SO
18411,20111231,20120331,20120630,18.669,2.332,1.471,SO
18411,20111231,20120331,20120731,19.415,2.425,1.529,SO
18411,20111231,20120630,20120831,18.205,2.345,1.407,SO
18411,20111231,20120630,20120930,18.51,2.384,1.431,SO
18411,20111231,20120630,20121031,18.811,2.423,1.454,SO
18411,20111231,20120930,20121130,17.213,2.303,1.307,SO
18411,20111231,20120930,20121231,16.921,2.264,1.285,SO
18411,20111231,20120930,20130131,17.482,2.323,1.318,SO
18411,20121231,20121231,20130228,16.858,2.365,1.343,SO
18411,20121231,20121231,20130331,17.573,2.466,1.4,SO
18411,20121231,20121231,20130430,18.064,2.537,1.44,SO
18411,20121231,20130331,20130531,18.761,2.27,1.326,SO
18411,20121231,20130331,20130630,18.859,2.282,1.333,SO
18411,20121231,20130331,20130731,19.162,2.319,1.354,SO
18411,20121231,20130630,20130831,21.127,2.153,1.258,SO
18411,20121231,20130630,20130930,20.904,2.13,1.244,SO
18411,20121231,20130630,20131031,20.766,2.136,1.248,SO
18411,20121231,20130930,20131130,22.202,2.124,1.199,SO
18411,20121231,20130930,20131231,22.464,2.15,1.213,SO
18411,20121231,20130930,20140131,22.536,2.172,1.225,SO
18411,20131231,20131231,20140228,22.647,2.201,1.231,SO
18411,20131231,20131231,20140331,23.497,2.283,1.278,SO
18411,20131231,20131231,20140430,24.508,2.391,1.338,SO
18411,20131231,20140331,20140531,20.175,2.187,1.275,SO
18411,20131231,20140331,20140630,20.912,2.267,1.322,SO
18411,20131231,20140331,20140731,19.949,2.175,1.268,SO
18411,20131231,20140630,20140831,17.619,2.203,1.279,SO
18411,20131231,20140630,20140930,17.321,2.165,1.258,SO
18411,20131231,20140630,20141031,18.397,2.3,1.336,SO
18411,20131231,20140930,20141130,20.183,2.322,1.347,SO
18411,20131231,20140930,20141231,20.898,2.405,1.395,SO
18411,20131231,20140930,20150131,21.583,2.483,1.441,SO
18411,20141231,20141231,20150228,21.005,2.231,1.259,SO
18411,20141231,20141231,20150331,20.312,2.182,1.231,SO
18411,20141231,20141231,20150430,20.321,2.178,1.229,SO
18411,20141231,20150331,20150531,18.591,2.204,1.205,SO
18411,20141231,20150331,20150630,17.83,2.114,1.156,SO
18411,20141231,20150331,20150731,19.034,2.256,1.234,SO
18411,20141231,20150630,20150831,18.394,2.206,1.171,SO
18411,20141231,20150630,20150930,18.941,2.271,1.206,SO
18411,20141231,20150630,20151031,19.11,2.296,1.219,SO
18411,20141231,20150930,20151130,17.065,2.257,1.203,SO
18411,20141231,20150930,20151231,17.927,2.371,1.264,SO
18411,20141231,20150930,20160131,18.743,2.479,1.321,SO
18411,20151231,20151231,20160229,18.602,2.515,1.289,SO
18411,20151231,20151231,20160331,19.973,2.7,1.383,SO
18411,20151231,20151231,20160430,19.344,2.63,1.347,SO
18411,20151231,20160331,20160531,19.237,2.683,1.348,SO
18411,20151231,20160331,20160630,20.868,2.91,1.462,SO
18411,20151231,20160331,20160731,20.817,2.913,1.464,SO
18411,20151231,20160630,20160831,20.129,2.884,1.395,SO
18411,20151231,20160630,20160930,20.118,2.882,1.394,SO
18411,20151231,20160630,20161031,20.224,2.897,1.402,SO
18411,20151231,20160930,20161130,17.47,2.512,1.134,SO
18411,20151231,20160930,20161231,18.354,2.639,1.192,SO
18411,20151231,20160930,20170131,18.444,2.652,1.197,SO
18411,20161231,20161231,20170228,19.929,2.531,1.226,SO
18411,20161231,20161231,20170331,19.522,2.482,1.202,SO
18411,20161231,20161231,20170430,19.529,2.491,1.207,SO
18411,20161231,20170331,20170531,18.675,2.322,1.208,SO
18411,20161231,20170331,20170630,17.668,2.197,1.143,SO
18411,20161231,20170331,20170731,17.686,2.21,1.15,SO
18411,20161231,20170630,20170831,74.246,2.13,1.23,SO
