gvkey,iid,datadate,tic,cshtrd,prccd,prcld,prcstd
1447,1,20100104,AXP,6872282,40.92,40.39,3
1447,1,20100105,AXP,10621320,40.83,40.37,3
1447,1,20100106,AXP,8399374,41.49,41.17,3
1447,1,20100107,AXP,8981995,41.98,41.11,3
1447,1,20100108,AXP,7907686,41.95,41.4,3
1447,1,20100111,AXP,7390347,41.47,41.25,3
1447,1,20100112,AXP,12657170,42.02,41.25,3
1447,1,20100113,AXP,10137000,42.15,41.57,3
1447,1,20100114,AXP,8238365,42.68,42.02,3
1447,1,20100115,AXP,13628960,42.39,42.02,3
1447,1,20100119,AXP,9533775,42.96,42.11,3
1447,1,20100120,AXP,11640330,42.98,42.26,3
1447,1,20100121,AXP,16963140,42.16,41.53,3
1447,1,20100122,AXP,26161580,38.59,38.19,3
1447,1,20100125,AXP,17587510,37.79,37.5,3
1447,1,20100126,AXP,15709620,38.1,37.52,3
1447,1,20100127,AXP,12907830,38.67,37.83,3
1447,1,20100128,AXP,14148540,37.43,36.83,3
1447,1,20100129,AXP,14220110,37.66,37.36,3
1447,1,20100201,AXP,9356048,38.21,37.82,3
1447,1,20100202,AXP,11265790,39.02,38.45,3
1447,1,20100203,AXP,10656880,38.33,38.19,3
1447,1,20100204,AXP,12934320,37.53,37.47,3
1447,1,20100205,AXP,13023910,37.85,36.6,3
1447,1,20100208,AXP,9361808,36.79,36.78,3
1447,1,20100209,AXP,10677080,37.54,37.02,3
1447,1,20100210,AXP,8880287,37.75,37,3
1447,1,20100211,AXP,9901832,38.29,37.48,3
1447,1,20100212,AXP,10692560,38.42,37.47,3
1447,1,20100216,AXP,10932570,39.62,38.655,3
1447,1,20100217,AXP,9815847,39.05,38.82,3
1447,1,20100218,AXP,6853348,39.15,38.74,3
1447,1,20100219,AXP,9412243,39.06,38.59,3
1447,1,20100222,AXP,7407306,38.93,38.78,3
1447,1,20100223,AXP,9695662,37.93,37.82,3
1447,1,20100224,AXP,6412242,38.41,38.02,3
1447,1,20100225,AXP,8446837,38.04,37.05,3
1447,1,20100226,AXP,6451826,38.19,37.76,3
1447,1,20100301,AXP,9102095,38.13,37.86,3
1447,1,20100302,AXP,9938310,38.39,38.1,3
1447,1,20100303,AXP,8220016,38.28,38.18,3
1447,1,20100304,AXP,8899547,38.89,38.2,3
1447,1,20100305,AXP,10136970,40.2,39.1,3
1447,1,20100308,AXP,7811532,39.71,39.61,3
1447,1,20100309,AXP,6758311,39.7,39.35,3
1447,1,20100310,AXP,7749348,39.72,39.32,3
1447,1,20100311,AXP,7636481,40.11,39.4301,3
1447,1,20100312,AXP,9455820,40.76,40.43,3
1447,1,20100315,AXP,7115074,40.7,40.07,3
1447,1,20100316,AXP,5796862,40.92,40.45,3
1447,1,20100317,AXP,8941860,41.01,40.7,3
1447,1,20100318,AXP,5507709,41,40.48,3
1447,1,20100319,AXP,10713210,40.33,40.28,3
1447,1,20100322,AXP,9170739,41.08,39.833,3
1447,1,20100323,AXP,8580640,41.24,40.819,3
1447,1,20100324,AXP,7499820,41.01,40.85,3
1447,1,20100325,AXP,8684292,41.42,41.2,3
1447,1,20100326,AXP,6803812,41.12,40.91,3
1447,1,20100329,AXP,5844985,41.48,41,3
1447,1,20100330,AXP,5561293,41.29,41.07,3
1447,1,20100331,AXP,6882608,41.26,40.83,3
1447,1,20100401,AXP,5995471,41.7,41.36,3
1447,1,20100405,AXP,7823079,42.67,41.74,3
1447,1,20100406,AXP,7663211,43.12,42.3,3
1447,1,20100407,AXP,9789697,42.37,42.03,3
1447,1,20100408,AXP,10408010,43.69,42.06,3
1447,1,20100409,AXP,6613759,43.88,43.54,3
1447,1,20100412,AXP,7773536,44.54,43.94,3
1447,1,20100413,AXP,10929130,44.99,44.33,3
1447,1,20100414,AXP,14080000,46.46,45.22,3
1447,1,20100415,AXP,9524187,46.67,46.02,3
1447,1,20100416,AXP,18314820,45.1,44.18,3
1447,1,20100419,AXP,10520870,45.76,44.63,3
1447,1,20100420,AXP,8066133,46.2,45.52,3
1447,1,20100421,AXP,7714228,45.99,45.5,3
1447,1,20100422,AXP,12854360,46.77,45.18,3
1447,1,20100423,AXP,17464170,48.05,47.66,3
1447,1,20100426,AXP,11143330,47.14,46.81,3
1447,1,20100427,AXP,11277860,45.79,45.61,3
1447,1,20100428,AXP,9534057,46.08,45.52,3
1447,1,20100429,AXP,12613650,47.6,46.41,3
1447,1,20100430,AXP,13996620,46.12,45.8,3
1447,1,20100503,AXP,7564130,47.2,46.12,3
1447,1,20100504,AXP,10550900,45.86,45.45,3
1447,1,20100505,AXP,15036040,44.43,43.93,3
1447,1,20100506,AXP,22442840,42.5,40.16,3
1447,1,20100507,AXP,30760510,40.6,40.5,3
1447,1,20100510,AXP,16761920,43.09,42.57,3
1447,1,20100511,AXP,12331540,43.33,42.55,3
1447,1,20100512,AXP,9800711,44.1,43.18,3
1447,1,20100513,AXP,10044610,42.81,42.72,3
1447,1,20100514,AXP,27465710,40.64,40.06,3
1447,1,20100517,AXP,15047520,41.22,39.8,3
1447,1,20100518,AXP,18832700,39.84,39.26,3
1447,1,20100519,AXP,15584260,40.17,39.14,3
1447,1,20100520,AXP,19525910,38.62,38.56,3
1447,1,20100521,AXP,18711410,39.82,37.36,3
1447,1,20100524,AXP,10313720,39.04,38.93,3
1447,1,20100525,AXP,14740550,39,37.6,3
1447,1,20100526,AXP,13384060,38.17,37.96,3
1447,1,20100527,AXP,14631780,40.33,39.03,3
1447,1,20100528,AXP,12471690,39.87,39.55,3
1447,1,20100601,AXP,12496930,39.19,39.05,3
1447,1,20100602,AXP,16148940,40.97,39,3
1447,1,20100603,AXP,8849934,40.54,40.18,3
1447,1,20100604,AXP,13626880,38.41,38.2,3
1447,1,20100607,AXP,11251080,37.71,37.61,3
1447,1,20100608,AXP,11546540,38.43,37.13,3
1447,1,20100609,AXP,12238240,38.11,37.97,3
1447,1,20100610,AXP,11728080,40.03,38.67,3
1447,1,20100611,AXP,7804982,40.13,39.33,3
1447,1,20100614,AXP,8480656,39.89,39.87,3
1447,1,20100615,AXP,10113350,41.59,40.18,3
1447,1,20100616,AXP,11528680,42.34,41.19,3
1447,1,20100617,AXP,8003001,42.06,41.45,3
1447,1,20100618,AXP,9095150,42.03,41.67,3
1447,1,20100621,AXP,11581900,42.6,42.03,3
1447,1,20100622,AXP,9870300,41.94,41.84,3
1447,1,20100623,AXP,9444818,42.17,41.12,3
1447,1,20100624,AXP,9655915,41.06,40.94,3
1447,1,20100625,AXP,23358000,42.67,40.9407,3
1447,1,20100628,AXP,8854864,42.11,41.81,3
1447,1,20100629,AXP,12220190,40.09,39.75,3
1447,1,20100630,AXP,8975178,39.7,39.58,3
1447,1,20100701,AXP,8743922,39.48,38.42,3
1447,1,20100702,AXP,6904709,39.42,38.91,3
1447,1,20100706,AXP,10296210,39.21,38.74,3
1447,1,20100707,AXP,12100620,41.15,39.02,3
1447,1,20100708,AXP,11485900,42.12,41.41,3
1447,1,20100709,AXP,8278036,42.58,41.93,3
1447,1,20100712,AXP,6937607,42.83,42.25,3
1447,1,20100713,AXP,8573486,44.17,43.26,3
1447,1,20100714,AXP,7134002,43.7,43.27,3
1447,1,20100715,AXP,9832512,43.43,42.34,3
1447,1,20100716,AXP,14149210,41.38,41.25,3
1447,1,20100719,AXP,7324043,41.58,40.46,3
1447,1,20100720,AXP,7570438,42.06,40.76,3
1447,1,20100721,AXP,9480933,41.15,41,3
1447,1,20100722,AXP,10785280,43.19,41.76,3
1447,1,20100723,AXP,15286580,44.79,42.57,3
1447,1,20100726,AXP,9481661,45.43,44.73,3
1447,1,20100727,AXP,10139130,44.55,44.3,3
1447,1,20100728,AXP,6380991,44.58,44.2,3
1447,1,20100729,AXP,7116851,44.56,44,3
1447,1,20100730,AXP,7333573,44.64,43.74,3
1447,1,20100802,AXP,9517551,44.99,44.78,3
1447,1,20100803,AXP,7263401,44.6,44.41,3
1447,1,20100804,AXP,15922130,44.11,43.59,3
1447,1,20100805,AXP,12422070,43.22,42.89,3
1447,1,20100806,AXP,8048109,43.5,42.49,3
1447,1,20100809,AXP,5069433,43.75,43.37,3
1447,1,20100810,AXP,8511712,44.09,43.09,3
1447,1,20100811,AXP,10117740,42.96,42.85,3
1447,1,20100812,AXP,8616756,42.15,42.05,3
1447,1,20100813,AXP,6418502,41.73,41.72,3
1447,1,20100816,AXP,7156146,41.54,41.28,3
1447,1,20100817,AXP,8545139,41.74,41.47,3
1447,1,20100818,AXP,8698082,41.69,41.12,3
1447,1,20100819,AXP,9451150,40.96,40.9,3
1447,1,20100820,AXP,7865493,40.76,40.055,3
1447,1,20100823,AXP,5143576,40.2,40.17,3
1447,1,20100824,AXP,7512612,39.57,39.24,3
1447,1,20100825,AXP,6390873,39.8,39.14,3
1447,1,20100826,AXP,6894478,39.73,39.46,3
1447,1,20100827,AXP,7459280,40.91,39.56,3
1447,1,20100830,AXP,5069884,39.89,39.87,3
1447,1,20100831,AXP,8312829,39.87,39.47,3
1447,1,20100901,AXP,7665607,41.07,40.34,3
1447,1,20100902,AXP,11674770,40.88,40.06,3
1447,1,20100903,AXP,10803750,41.8,41.22,3
1447,1,20100907,AXP,9737279,40.09,40.04,3
1447,1,20100908,AXP,9084949,40.07,39.76,3
1447,1,20100909,AXP,7890754,40.69,40.07,3
1447,1,20100910,AXP,7362136,40.19,39.99,3
1447,1,20100913,AXP,8099048,41.22,40.65,3
1447,1,20100914,AXP,9353983,40.38,40.16,3
1447,1,20100915,AXP,7951091,40.85,39.8,3
1447,1,20100916,AXP,7219135,40.96,40.58,3
1447,1,20100917,AXP,29104120,41.37,40.65,3
1447,1,20100920,AXP,11751390,43.12,41.56,3
1447,1,20100921,AXP,9322047,42.78,42.66,3
1447,1,20100922,AXP,11367570,42.79,42.155,3
1447,1,20100923,AXP,8663158,42.36,42.21,3
1447,1,20100924,AXP,10122960,43.13,42.6841,3
1447,1,20100927,AXP,9253076,43.44,42.74,3
1447,1,20100928,AXP,6560460,43.69,42.96,3
1447,1,20100929,AXP,7888553,43.01,42.78,3
1447,1,20100930,AXP,12248290,42.03,41.98,3
1447,1,20101001,AXP,10645460,41.78,41.549,3
1447,1,20101004,AXP,38421800,39.05,38.68,3
1447,1,20101005,AXP,68064330,38.28,37.33,3
1447,1,20101006,AXP,21035430,38.02,37.92,3
1447,1,20101007,AXP,18567880,37.82,37.77,3
1447,1,20101008,AXP,13164870,37.99,37.59,3
1447,1,20101011,AXP,10896270,37.94,37.9,3
1447,1,20101012,AXP,19942640,38.54,37.9,3
1447,1,20101013,AXP,19470640,39.26,38.74,3
1447,1,20101014,AXP,14617630,39.44,39.01,3
1447,1,20101015,AXP,14856400,39.09,39.03,3
1447,1,20101018,AXP,9995482,39.55,38.75,3
1447,1,20101019,AXP,18098680,39.3075,39.15,3
1447,1,20101020,AXP,9227341,39.73,39.36,3
1447,1,20101021,AXP,12482880,40.27,39.62,3
1447,1,20101022,AXP,17287760,39.03,38.96,3
1447,1,20101025,AXP,13570220,39.3,38.88,3
1447,1,20101026,AXP,12241150,40.1,39.14,3
1447,1,20101027,AXP,15600030,40.68,39.62,3
1447,1,20101028,AXP,14732300,41.22,40.86,3
1447,1,20101029,AXP,9574801,41.46,40.91,3
1447,1,20101101,AXP,8445980,41.56,41.35,3
1447,1,20101102,AXP,9147011,42.39,41.84,3
1447,1,20101103,AXP,11717180,42.07,41.455,3
1447,1,20101104,AXP,13076460,43.73,42.25,3
1447,1,20101105,AXP,13047150,44.07,43.61,3
1447,1,20101108,AXP,7644985,43.9,43.36,3
1447,1,20101109,AXP,9274902,43.36,43.19,3
1447,1,20101110,AXP,9730413,43.56,43.04,3
1447,1,20101111,AXP,5811224,43.35,43.0101,3
1447,1,20101112,AXP,7030802,42.7,42.39,3
1447,1,20101115,AXP,6101328,42.7,42.64,3
1447,1,20101116,AXP,11364480,41.93,41.49,3
1447,1,20101117,AXP,9593433,41.41,41.41,3
1447,1,20101118,AXP,7952519,42.25,41.89,3
1447,1,20101119,AXP,7387051,42.75,41.97,3
1447,1,20101122,AXP,7546559,42.22,41.86,3
1447,1,20101123,AXP,10390860,41.95,41.6,3
1447,1,20101124,AXP,6727255,43,42.34,3
1447,1,20101126,AXP,2999912,42.41,42.27,3
1447,1,20101129,AXP,10371620,43.33,41.873,3
1447,1,20101130,AXP,9392903,43.22,42.62,3
1447,1,20101201,AXP,15211440,44.3,43.69,3
1447,1,20101202,AXP,10935840,44.98,44.25,3
1447,1,20101203,AXP,9132625,44.88,44.42,3
1447,1,20101206,AXP,6582102,45,44.55,3
1447,1,20101207,AXP,9663829,44.78,44.74,3
1447,1,20101208,AXP,8536396,45.63,44.8,3
1447,1,20101209,AXP,7004232,45.81,45.2925,3
1447,1,20101210,AXP,8212438,46.26,45.75,3
1447,1,20101213,AXP,8300067,46.37,46.14,3
1447,1,20101214,AXP,5757016,46.2,46.08,3
1447,1,20101215,AXP,7338408,46.12,45.8,3
1447,1,20101216,AXP,15357040,44.57,44.54,3
1447,1,20101217,AXP,17280390,44.01,43.86,3
1447,1,20101220,AXP,31556700,42.5,41.25,3
1447,1,20101221,AXP,10277210,43.23,42.8,3
1447,1,20101222,AXP,7709973,42.81,42.62,3
1447,1,20101223,AXP,4830594,42.77,42.57,3
1447,1,20101227,AXP,4470299,43.05,42.61,3
1447,1,20101228,AXP,4017310,42.79,42.55,3
1447,1,20101229,AXP,3240314,42.86,42.62,3
1447,1,20101230,AXP,4356727,42.51,42.44,3
1447,1,20101231,AXP,3450689,42.92,42.4,3
1447,1,20110103,AXP,7548989,43.4,43.11,3
1447,1,20110104,AXP,14056740,43.95,43.2,3
1447,1,20110105,AXP,10638100,45.04,43.91,3
1447,1,20110106,AXP,6346802,44.73,44.45,3
1447,1,20110107,AXP,6387690,44.36,44,3
1447,1,20110110,AXP,5467597,44.46,44.01,3
1447,1,20110111,AXP,5913412,45.04,44.8,3
1447,1,20110112,AXP,8149724,45,44.83,3
1447,1,20110113,AXP,6362337,45.06,44.75,3
1447,1,20110114,AXP,10626300,46.25,44.9,3
1447,1,20110118,AXP,7975099,46.37,45.8,3
1447,1,20110119,AXP,14398680,45.24,44.8,3
1447,1,20110120,AXP,7580516,45.27,44.71,3
1447,1,20110121,AXP,8735439,46,45.51,3
1447,1,20110124,AXP,9177088,45.79,45.45,3
1447,1,20110125,AXP,16071840,44.8,44.192,3
1447,1,20110126,AXP,8065982,44.46,44.45,3
1447,1,20110127,AXP,8068287,44.54,44.02,3
1447,1,20110128,AXP,9918197,43.86,43.42,3
1447,1,20110131,AXP,9922398,43.38,43.28,3
1447,1,20110201,AXP,11392170,43.6,43.23,3
1447,1,20110202,AXP,6834938,43.72,43.33,3
1447,1,20110203,AXP,5188791,43.53,43.15,3
1447,1,20110204,AXP,6105340,43.82,43.175,3
1447,1,20110207,AXP,9379338,44.82,43.88,3
1447,1,20110208,AXP,9800501,45.88,44.6225,3
1447,1,20110209,AXP,8703546,45.72,45.2,3
1447,1,20110210,AXP,9190139,46.57,45.35,3
1447,1,20110211,AXP,6593264,46.75,46.24,3
1447,1,20110214,AXP,5260033,46.52,46.26,3
1447,1,20110215,AXP,5512095,46.19,45.9,3
1447,1,20110216,AXP,6987540,46.86,46.27,3
1447,1,20110217,AXP,10696270,45.78,45.68,3
