permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
17778,20081231,20090930,20100131,34.748,1.147,0.848,BRK
17778,20091231,20091231,20100228,23.146,1.127,0.845,BRK
17778,20091231,20091231,20100331,23.475,1.118,0.837,BRK
19393,20081231,20090930,20100131,13.763,2.276,2.872,BMY
19393,20091231,20091231,20100228,15.037,2.234,2.825,BMY
19393,20091231,20091231,20100331,16.38,2.439,3.084,BMY
19393,20091231,20091231,20100430,15.528,2.314,2.926,BMY
19393,20091231,20100331,20100531,13.416,2.069,2.617,BMY
19393,20091231,20100331,20100630,14.416,2.223,2.813,BMY
19393,20091231,20100331,20100731,14.405,2.215,2.802,BMY
19393,20091231,20100630,20100831,14.33,2.306,2.854,BMY
19393,20091231,20100630,20100930,14.896,2.397,2.967,BMY
19393,20091231,20100630,20101031,14.78,2.374,2.939,BMY
19393,20091231,20100930,20101130,13.146,2.226,2.705,BMY
19393,20091231,20100930,20101231,13.792,2.336,2.838,BMY
19393,20091231,20100930,20110131,13.115,2.221,2.699,BMY
19393,20101231,20101231,20110228,14.339,2.255,2.787,BMY
19393,20101231,20101231,20110331,14.683,2.312,2.858,BMY
19393,20101231,20101231,20110430,15.611,2.46,3.04,BMY
19393,20101231,20110331,20110531,14.902,2.492,3.067,BMY
19393,20101231,20110331,20110630,15.005,2.509,3.088,BMY
19393,20101231,20110331,20110731,14.85,2.483,3.056,BMY
19393,20101231,20110630,20110831,15.415,2.493,3.103,BMY
19393,20101231,20110630,20110930,16.259,2.63,3.273,BMY
19393,20101231,20110630,20111031,16.368,2.63,3.273,BMY
19393,20101231,20110930,20111130,16.866,2.653,3.346,BMY
19393,20101231,20110930,20111231,18.165,2.857,3.603,BMY
19393,20101231,20110930,20120131,16.619,2.614,3.297,BMY
19393,20111231,20111231,20120229,14.894,2.556,3.381,BMY
19393,20111231,20111231,20120331,15.625,2.681,3.546,BMY
19393,20111231,20111231,20120430,15.449,2.653,3.509,BMY
19393,20111231,20120331,20120531,15.018,2.621,3.447,BMY
19393,20111231,20120331,20120630,16.194,2.826,3.717,BMY
19393,20111231,20120331,20120731,16.036,2.782,3.659,BMY
19393,20111231,20120630,20120831,15.87,2.705,3.443,BMY
19393,20111231,20120630,20120930,16.226,2.765,3.52,BMY
19393,20111231,20120630,20121031,15.986,2.678,3.409,BMY
19393,20111231,20120930,20121130,29.396,2.852,3.677,BMY
19393,20111231,20120930,20121231,29.36,2.849,3.673,BMY
19393,20111231,20120930,20130131,32.559,3.159,4.073,BMY
19393,20121231,20121231,20130228,31.871,3.435,4.322,BMY
19393,20121231,20121231,20130331,35.509,3.84,4.832,BMY
19393,20121231,20121231,20130430,34.241,3.703,4.658,BMY
19393,20121231,20130331,20130531,52.284,4.665,5.348,BMY
19393,20121231,20130331,20130630,50.784,4.531,5.194,BMY
19393,20121231,20130331,20130731,49.136,4.394,5.037,BMY
19393,20121231,20130630,20130831,50.841,4.342,4.519,BMY
19393,20121231,20130630,20130930,56.439,4.82,5.016,BMY
19393,20121231,20130630,20131031,64.049,5.471,5.693,BMY
19393,20121231,20130930,20131130,30.766,5.243,5.413,BMY
19393,20121231,20130930,20131231,31.826,5.424,5.599,BMY
19393,20121231,20130930,20140131,29.922,5.099,5.264,BMY
19393,20131231,20131231,20140228,34.916,5.416,5.827,BMY
19393,20131231,20131231,20140331,33.734,5.254,5.653,BMY
19393,20131231,20131231,20140430,32.526,5.066,5.451,BMY
19393,20131231,20140331,20140531,28.586,5.037,5.3,BMY
19393,20131231,20140331,20140630,27.879,4.912,5.169,BMY
19393,20131231,20140331,20140731,29.092,5.128,5.397,BMY
19393,20131231,20140630,20140831,31.265,5.182,5.457,BMY
19393,20131231,20140630,20140930,31.593,5.236,5.514,BMY
19393,20131231,20140630,20141031,35.92,5.956,6.272,BMY
19393,20131231,20140930,20141130,36.227,6.098,6.429,BMY
19393,20131231,20140930,20141231,36.215,6.096,6.427,BMY
19393,20131231,20140930,20150131,36.975,6.224,6.562,BMY
19393,20141231,20141231,20150228,50.767,6.377,6.79,BMY
19393,20141231,20141231,20150331,53.75,6.77,7.209,BMY
19393,20141231,20141231,20150430,53.108,6.69,7.124,BMY
19393,20141231,20150331,20150531,47.852,6.685,6.927,BMY
19393,20141231,20150331,20150630,49.289,6.886,7.135,BMY
19393,20141231,20150331,20150731,48.622,6.795,7.041,BMY
19393,20141231,20150630,20150831,55.579,6.053,6.557,BMY
19393,20141231,20150630,20150930,55.327,6.026,6.528,BMY
19393,20141231,20150630,20151031,61.636,6.716,7.275,BMY
19393,20141231,20150930,20151130,63.217,6.763,7.414,BMY
19393,20141231,20150930,20151231,64.896,6.942,7.611,BMY
19393,20141231,20150930,20160131,58.642,6.273,6.877,BMY
19393,20151231,20151231,20160229,66.591,6.243,7.232,BMY
19393,20151231,20151231,20160331,68.688,6.452,7.473,BMY
19393,20151231,20151231,20160430,77.613,7.276,8.428,BMY
19393,20151231,20160331,20160531,77.097,7.078,8.32,BMY
19393,20151231,20160331,20160630,79.086,7.261,8.535,BMY
19393,20151231,20160331,20160731,80.441,7.392,8.689,BMY
19393,20151231,20160630,20160831,33.561,5.443,6.428,BMY
19393,20151231,20160630,20160930,31.532,5.114,6.039,BMY
19393,20151231,20160630,20161031,29.772,4.829,5.703,BMY
19393,20151231,20160930,20161130,28.22,5.107,6.041,BMY
19393,20151231,20160930,20161231,29.22,5.288,6.255,BMY
19393,20151231,20160930,20170131,24.58,4.448,5.262,BMY
19393,20161231,20161231,20170228,21.4,4.883,5.847,BMY
19393,20161231,20161231,20170331,20.521,4.612,5.522,BMY
19393,20161231,20161231,20170430,21.151,4.753,5.691,BMY
19393,20161231,20170331,20170531,18.733,4.452,6.165,BMY
19393,20161231,20170331,20170630,19.347,4.598,6.368,BMY
19393,20161231,20170331,20170731,19.757,4.674,6.473,BMY
19393,20161231,20170630,20170831,21.993,4.901,6.748,BMY
19393,20161231,20170630,20170930,23.178,5.165,7.111,BMY
19393,20161231,20170630,20171031,22.422,4.987,6.866,BMY
19393,20161231,20170930,20171130,24.78,5.028,6.996,BMY
19393,20161231,20170930,20171231,24.031,4.876,6.785,BMY
19393,20161231,20170930,20180131,24.549,4.981,6.931,BMY
19393,20171231,20171231,20180228,108.525,5.202,9.17,BMY
19393,20171231,20171231,20180331,103.689,4.978,8.774,BMY
19393,20171231,20171231,20180430,85.459,4.101,7.23,BMY
19393,20171231,20180331,20180531,93.964,4.088,6.723,BMY
