permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
10107,20090630,20090930,20100131,18.299,4.39,5.975,MSFT
10107,20090630,20091231,20100228,15.84,4.284,5.63,MSFT
10107,20090630,20091231,20100331,16.181,4.372,5.746,MSFT
10107,20090630,20091231,20100430,16.87,4.56,5.992,MSFT
10107,20090630,20100331,20100531,13.368,3.797,4.859,MSFT
10107,20090630,20100331,20100630,11.922,3.344,4.279,MSFT
10107,20090630,20100331,20100731,13.373,3.751,4.799,MSFT
10107,20100630,20100630,20100831,11.174,3.25,4.376,MSFT
10107,20100630,20100630,20100930,11.662,3.356,4.519,MSFT
10107,20100630,20100630,20101031,12.698,3.651,4.916,MSFT
10107,20100630,20100930,20101130,10.887,3.286,4.551,MSFT
10107,20100630,20100930,20101231,12.03,3.566,4.939,MSFT
10107,20100630,20100930,20110131,11.95,3.543,4.906,MSFT
10107,20100630,20101231,20110228,11.311,3.349,4.529,MSFT
10107,20100630,20101231,20110331,10.804,3.21,4.341,MSFT
10107,20100630,20101231,20110430,11.03,3.278,4.433,MSFT
10107,20100630,20110331,20110531,9.925,3.074,3.86,MSFT
10107,20100630,20110331,20110630,10.317,3.174,3.986,MSFT
10107,20100630,20110331,20110731,10.873,3.346,4.202,MSFT
10107,20110630,20110630,20110831,9.888,3.186,3.807,MSFT
10107,20110630,20110630,20110930,9.253,2.993,3.576,MSFT
10107,20110630,20110630,20111031,9.9,3.203,3.827,MSFT
10107,20110630,20110930,20111130,9.302,3.026,3.561,MSFT
10107,20110630,20110930,20111231,9.44,3.063,3.605,MSFT
10107,20110630,20110930,20120131,10.738,3.484,4.1,MSFT
10107,20110630,20111231,20120229,11.5,3.696,4.085,MSFT
10107,20110630,20111231,20120331,11.687,3.76,4.155,MSFT
10107,20110630,20111231,20120430,11.6,3.733,4.125,MSFT
10107,20110630,20120331,20120531,10.653,3.358,3.497,MSFT
10107,20110630,20120331,20120630,11.164,3.51,3.656,MSFT
10107,20110630,20120331,20120731,10.755,3.383,3.524,MSFT
10107,20120630,20120630,20120831,15.41,3.505,3.785,MSFT
10107,20120630,20120630,20120930,14.88,3.4,3.672,MSFT
10107,20120630,20120630,20121031,14.27,3.258,3.519,MSFT
10107,20120630,20120930,20121130,14.386,3.096,3.153,MSFT
10107,20120630,20120930,20121231,14.438,3.091,3.148,MSFT
10107,20120630,20120930,20130131,14.838,3.178,3.236,MSFT
10107,20120630,20121231,20130228,15.275,3.193,3.106,MSFT
10107,20120630,20121231,20130331,15.717,3.275,3.186,MSFT
10107,20120630,20121231,20130430,18.187,3.79,3.687,MSFT
10107,20120630,20130331,20130531,18.083,3.834,3.684,MSFT
10107,20120630,20130331,20130630,17.899,3.785,3.636,MSFT
10107,20120630,20130331,20130731,16.497,3.489,3.353,MSFT
10107,20130630,20130630,20130831,12.946,3.574,3.45,MSFT
10107,20130630,20130630,20130930,12.899,3.568,3.444,MSFT
10107,20130630,20130630,20131031,13.723,3.797,3.665,MSFT
10107,20130630,20130930,20131130,14.175,3.961,3.795,MSFT
10107,20130630,20130930,20131231,13.907,3.863,3.702,MSFT
10107,20130630,20130930,20140131,14.067,3.908,3.745,MSFT
10107,20130630,20131231,20140228,14.137,3.811,3.635,MSFT
10107,20130630,20131231,20140331,15.125,4.058,3.87,MSFT
10107,20130630,20131231,20140430,14.908,4,3.815,MSFT
10107,20130630,20140331,20140531,15.333,4.058,3.768,MSFT
10107,20130630,20140331,20140630,15.618,4.122,3.828,MSFT
10107,20130630,20140331,20140731,16.165,4.267,3.963,MSFT
10107,20140630,20140630,20140831,17.274,4.33,4.046,MSFT
10107,20140630,20140630,20140930,17.627,4.427,4.137,MSFT
10107,20140630,20140630,20141031,17.852,4.477,4.183,MSFT
10107,20140630,20140930,20141130,18.749,4.325,4.243,MSFT
10107,20140630,20140930,20141231,18.216,4.189,4.11,MSFT
10107,20140630,20140930,20150131,15.843,3.637,3.568,MSFT
10107,20140630,20141231,20150228,17.681,3.865,3.799,MSFT
10107,20140630,20141231,20150331,16.393,3.544,3.483,MSFT
10107,20140630,20141231,20150430,19.613,4.228,4.155,MSFT
10107,20140630,20150331,20150531,19.444,4.016,4.074,MSFT
10107,20140630,20150331,20150630,18.32,3.754,3.809,MSFT
10107,20140630,20150331,20150731,19.378,3.957,4.014,MSFT
10107,20150630,20150630,20150831,29.405,3.72,4.198,MSFT
10107,20150630,20150630,20150930,29.905,3.777,4.263,MSFT
10107,20150630,20150630,20151031,35.568,4.493,5.071,MSFT
10107,20150630,20150930,20151130,35.523,4.784,5.453,MSFT
10107,20150630,20150930,20151231,36.261,4.845,5.523,MSFT
10107,20150630,20150930,20160131,36.007,4.801,5.473,MSFT
10107,20150630,20151231,20160229,35.333,4.569,5.096,MSFT
10107,20150630,20151231,20160331,38.354,4.935,5.504,MSFT
10107,20150630,20151231,20160430,34.632,4.45,4.964,MSFT
10107,20150630,20160331,20160531,40.769,4.795,5.377,MSFT
10107,20150630,20160331,20160630,39.362,4.598,5.157,MSFT
10107,20150630,20160331,20160731,43.6,5.083,5.701,MSFT
10107,20160630,20160630,20160831,27.362,5.248,6.094,MSFT
10107,20160630,20160630,20160930,27.429,5.252,6.099,MSFT
10107,20160630,20160630,20161031,28.533,5.461,6.341,MSFT
10107,20160630,20160930,20161130,27.391,5.394,6.513,MSFT
