permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
11308,20081231,20090930,20100131,10.046,4.107,5.013,KO
11308,20091231,20091231,20100228,17.993,3.921,4.607,KO
11308,20091231,20091231,20100331,18.771,4.091,4.806,KO
11308,20091231,20091231,20100430,18.242,3.979,4.675,KO
11308,20091231,20100331,20100531,8.454,3.783,4.5,KO
11308,20091231,20100331,20100630,8.243,3.689,4.388,KO
11308,20091231,20100331,20100731,9.064,4.056,4.825,KO
11308,20091231,20100630,20100831,8.787,4.064,4.767,KO
11308,20091231,20100630,20100930,9.201,4.256,4.992,KO
11308,20091231,20100630,20101031,9.642,4.484,5.259,KO
11308,20091231,20100930,20101130,9.718,4.565,5.008,KO
11308,20091231,20100930,20101231,10.118,4.752,5.214,KO
11308,20091231,20100930,20110131,9.669,4.541,4.983,KO
11308,20101231,20101231,20110228,12.632,4.176,4.159,KO
11308,20101231,20101231,20110331,13.111,4.336,4.318,KO
11308,20101231,20101231,20110430,13.332,4.409,4.391,KO
11308,20101231,20110331,20110531,6.449,4.01,4.167,KO
11308,20101231,20110331,20110630,6.495,4.039,4.197,KO
11308,20101231,20110331,20110731,6.565,4.082,4.242,KO
11308,20101231,20110630,20110831,6.572,3.833,4.059,KO
11308,20101231,20110630,20110930,6.302,3.676,3.893,KO
11308,20101231,20110630,20111031,6.373,3.677,3.894,KO
11308,20101231,20110930,20111130,6.191,3.318,4.043,KO
11308,20101231,20110930,20111231,6.443,3.453,4.208,KO
11308,20101231,20110930,20120131,6.218,3.333,4.061,KO
11308,20111231,20111231,20120229,18.932,3.395,4.352,KO
11308,20111231,20111231,20120331,20.057,3.599,4.613,KO
11308,20111231,20111231,20120430,20.683,3.701,4.743,KO
11308,20111231,20120331,20120531,9.938,3.575,4.479,KO
11308,20111231,20120331,20120630,10.398,3.741,4.687,KO
11308,20111231,20120331,20120731,10.745,3.857,4.832,KO
11308,20111231,20120630,20120831,9.894,3.544,4.519,KO
11308,20111231,20120630,20120930,10.034,3.594,4.583,KO
11308,20111231,20120630,20121031,9.836,3.51,4.476,KO
11308,20111231,20120930,20121130,19.75,3.573,4.428,KO
11308,20111231,20120930,20121231,18.88,3.415,4.233,KO
11308,20111231,20120930,20130131,19.396,3.509,4.349,KO
11308,20121231,20121231,20130228,19.655,3.594,4.569,KO
11308,20121231,20121231,20130331,20.528,3.753,4.772,KO
11308,20121231,20121231,20130430,21.487,3.926,4.991,KO
11308,20121231,20130331,20130531,20.992,3.717,4.725,KO
11308,20121231,20130331,20130630,21.055,3.728,4.739,KO
11308,20121231,20130331,20130731,21.039,3.708,4.714,KO
11308,20121231,20130630,20130831,20.201,3.557,4.511,KO
11308,20121231,20130630,20130930,20.042,3.529,4.476,KO
11308,20121231,20130630,20131031,20.937,3.673,4.657,KO
11308,20121231,20130930,20131130,20.824,3.755,4.74,KO
11308,20121231,20130930,20131231,21.404,3.859,4.873,KO
11308,20121231,20130930,20140131,19.596,3.533,4.461,KO
11308,20131231,20131231,20140228,20.105,3.592,4.28,KO
11308,20131231,20131231,20140331,20.347,3.635,4.331,KO
11308,20131231,20131231,20140430,21.468,3.826,4.559,KO
11308,20131231,20140331,20140531,21.877,3.876,4.621,KO
11308,20131231,20140331,20140630,22.652,4.013,4.785,KO
11308,20131231,20140331,20140731,21.011,3.714,4.429,KO
11308,20131231,20140630,20140831,22.31,3.959,4.514,KO
11308,20131231,20140630,20140930,22.813,4.048,4.615,KO
11308,20131231,20140630,20141031,22.396,3.969,4.525,KO
11308,20131231,20140930,20141130,24.906,4.253,4.931,KO
11308,20131231,20140930,20141231,23.456,4.006,4.644,KO
11308,20131231,20140930,20150131,22.872,3.906,4.529,KO
11308,20141231,20141231,20150228,27.063,4.11,5.258,KO
11308,20141231,20141231,20150331,25.344,3.851,4.927,KO
11308,20141231,20141231,20150430,25.35,3.852,4.928,KO
11308,20141231,20150331,20150531,25.924,3.87,5.21,KO
11308,20141231,20150331,20150630,24.829,3.706,4.99,KO
11308,20141231,20150331,20150731,26,3.874,5.215,KO
11308,20141231,20150630,20150831,22.994,3.741,5.001,KO
11308,20141231,20150630,20150930,23.462,3.818,5.103,KO
11308,20141231,20150630,20151031,24.766,4.029,5.385,KO
11308,20141231,20150930,20151130,27.321,4.104,5.96,KO
11308,20141231,20150930,20151231,27.538,4.137,6.007,KO
11308,20141231,20150930,20160131,27.513,4.133,6.001,KO
11308,20151231,20151231,20160229,25.826,4.216,6.174,KO
11308,20151231,20151231,20160331,27.778,4.534,6.639,KO
11308,20151231,20151231,20160430,26.826,4.376,6.408,KO
11308,20151231,20160331,20160531,26.867,4.399,6.596,KO
11308,20151231,20160331,20160630,27.307,4.471,6.704,KO
11308,20151231,20160331,20160731,26.283,4.293,6.438,KO
11308,20151231,20160630,20160831,24.96,4.334,6.021,KO
11308,20151231,20160630,20160930,24.322,4.223,5.867,KO
11308,20151231,20160630,20161031,24.368,4.228,5.874,KO
11308,20151231,20160930,20161130,24.455,4.099,5.74,KO
11308,20151231,20160930,20161231,25.127,4.212,5.898,KO
11308,20151231,20160930,20170131,25.194,4.223,5.913,KO
11308,20161231,20161231,20170228,28.161,4.303,6.718,KO
11308,20161231,20161231,20170331,28.483,4.351,6.793,KO
11308,20161231,20161231,20170430,28.96,4.404,6.875,KO
11308,20161231,20170331,20170531,31.797,4.773,7.256,KO
11308,20161231,20170331,20170630,31.364,4.708,7.157,KO
11308,20161231,20170331,20170731,32.056,4.804,7.302,KO
11308,20161231,20170630,20170831,47.448,4.999,7.379,KO
11308,20161231,20170630,20170930,46.885,4.94,7.291,KO
11308,20161231,20170630,20171031,47.896,5.041,7.44,KO
11308,20161231,20170930,20171130,43.59,5.227,7.378,KO
11308,20161231,20170930,20171231,43.695,5.24,7.396,KO
11308,20161231,20170930,20180131,45.324,5.435,7.671,KO
11308,20171231,20171231,20180228,160.074,5.207,9.41,KO
11308,20171231,20171231,20180331,160.852,5.23,9.452,KO
11308,20171231,20171231,20180430,160.037,5.204,9.404,KO
11308,20171231,20180331,20180531,138.71,5.29,8.346,KO
11308,20171231,20180331,20180630,141.484,5.396,8.513,KO
11308,20171231,20180331,20180731,150.419,5.733,9.046,KO
11308,20171231,20180630,20180831,84.094,5.525,9.064,KO
11308,20171231,20180630,20180930,87.151,5.726,9.394,KO
11308,20171231,20180630,20181031,90.34,5.94,9.746,KO
11308,20171231,20180930,20181130,80,6.309,10.332,KO
11308,20171231,20180930,20181231,75.159,5.927,9.707,KO
11308,20171231,20180930,20190131,76.397,6.024,9.866,KO
11308,20181231,20181231,20190228,28.879,6.085,10.249,KO
11308,20181231,20181231,20190331,29.847,6.289,10.592,KO
