permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
11850,20081231,20090930,20100131,15.16,1.134,2.336,XOM
11850,20091231,20091231,20100228,16.332,1.114,2.295,XOM
11850,20091231,20091231,20100331,16.829,1.148,2.365,XOM
11850,20091231,20091231,20100430,17.028,1.155,2.381,XOM
11850,20091231,20100331,20100531,13.772,0.945,2.078,XOM
11850,20091231,20100331,20100630,13,0.971,2.136,XOM
11850,20091231,20100331,20100731,13.595,1.014,2.231,XOM
11850,20091231,20100630,20100831,11.411,0.951,1.725,XOM
11850,20091231,20100630,20100930,11.929,0.995,1.803,XOM
11850,20091231,20100630,20101031,12.836,1.06,1.922,XOM
11850,20091231,20100930,20101130,12.333,1.069,1.945,XOM
11850,20091231,20100930,20101231,12.965,1.123,2.045,XOM
11850,20091231,20100930,20110131,14.305,1.239,2.256,XOM
11850,20101231,20101231,20110228,13.751,1.242,2.33,XOM
11850,20101231,20101231,20110331,13.526,1.221,2.292,XOM
11850,20101231,20101231,20110430,14.145,1.269,2.381,XOM
11850,20101231,20110331,20110531,11.873,1.134,2.192,XOM
11850,20101231,20110331,20110630,11.576,1.105,2.137,XOM
11850,20101231,20110331,20110731,11.35,1.07,2.068,XOM
11850,20101231,20110630,20110831,9.727,0.916,1.867,XOM
11850,20101231,20110630,20110930,9.544,0.899,1.832,XOM
11850,20101231,20110630,20111031,10.261,0.967,1.97,XOM
11850,20101231,20110930,20111130,9.692,0.919,2,XOM
11850,20101231,20110930,20111231,10.212,0.968,2.107,XOM
11850,20101231,20110930,20120131,10.089,0.957,2.082,XOM
11850,20111231,20111231,20120229,10.273,0.94,2.134,XOM
11850,20111231,20111231,20120331,10.3,0.943,2.14,XOM
11850,20111231,20111231,20120430,10.254,0.937,2.126,XOM
11850,20111231,20120331,20120531,9.496,0.83,1.902,XOM
11850,20111231,20120331,20120630,10.335,0.903,2.07,XOM
11850,20111231,20120331,20120731,10.489,0.917,2.101,XOM
11850,20111231,20120630,20120831,9.18,0.928,2.018,XOM
11850,20111231,20120630,20120930,9.616,0.972,2.114,XOM
11850,20111231,20120630,20121031,9.587,0.969,2.108,XOM
11850,20111231,20120930,20121130,9.307,0.945,1.966,XOM
11850,20111231,20120930,20121231,9.139,0.928,1.931,XOM
11850,20111231,20120930,20130131,9.501,0.965,2.007,XOM
11850,20121231,20121231,20130228,9.232,0.954,1.972,XOM
11850,20121231,20121231,20130331,9.29,0.96,1.985,XOM
11850,20121231,20121231,20130430,9.174,0.94,1.945,XOM
11850,20121231,20130331,20130531,9.213,0.995,1.955,XOM
11850,20121231,20130331,20130630,9.201,0.994,1.953,XOM
11850,20121231,20130331,20130731,9.547,1.031,2.026,XOM
11850,20121231,20130630,20130831,10.95,0.97,1.875,XOM
11850,20121231,20130630,20130930,10.809,0.957,1.851,XOM
11850,20121231,20130630,20131031,11.259,0.997,1.928,XOM
11850,20121231,20130930,20131130,12.204,1.038,1.956,XOM
11850,20121231,20130930,20131231,13.211,1.124,2.118,XOM
11850,20121231,20130930,20140131,12.031,1.016,1.914,XOM
11850,20131231,20131231,20140228,13.062,1.066,1.939,XOM
11850,20131231,20131231,20140331,13.254,1.082,1.968,XOM
11850,20131231,20131231,20140430,13.896,1.131,2.058,XOM
11850,20131231,20140331,20140531,13.678,1.112,1.988,XOM
11850,20131231,20140331,20140630,13.698,1.114,1.991,XOM
11850,20131231,20140331,20140731,13.461,1.094,1.956,XOM
11850,20131231,20140630,20140831,12.67,1.086,1.909,XOM
11850,20131231,20140630,20140930,11.981,1.027,1.805,XOM
11850,20131231,20140630,20141031,12.32,1.056,1.857,XOM
11850,20131231,20140930,20141130,11.389,0.994,1.729,XOM
11850,20131231,20140930,20141231,11.629,1.015,1.766,XOM
11850,20131231,20140930,20150131,10.996,0.96,1.67,XOM
11850,20141231,20141231,20150228,11.65,1.018,1.739,XOM
11850,20141231,20141231,20150331,11.184,0.977,1.669,XOM
11850,20141231,20141231,20150430,11.496,1.003,1.713,XOM
11850,20141231,20150331,20150531,12.774,1.079,1.695,XOM
11850,20141231,20150331,20150630,12.474,1.054,1.655,XOM
11850,20141231,20150331,20150731,11.876,1.003,1.576,XOM
11850,20141231,20150630,20150831,13.388,1.054,1.479,XOM
11850,20141231,20150630,20150930,13.23,1.042,1.462,XOM
11850,20141231,20150630,20151031,14.722,1.159,1.627,XOM
11850,20141231,20150930,20151130,17.228,1.298,1.627,XOM
11850,20141231,20150930,20151231,16.445,1.239,1.553,XOM
11850,20141231,20150930,20160131,16.424,1.238,1.551,XOM
11850,20151231,20151231,20160229,20.818,1.406,1.603,XOM
11850,20151231,20151231,20160331,21.712,1.466,1.672,XOM
11850,20151231,20151231,20160430,22.961,1.549,1.767,XOM
11850,20151231,20160331,20160531,28.624,1.679,1.771,XOM
11850,20151231,20160331,20160630,30.141,1.768,1.864,XOM
11850,20151231,20160331,20160731,28.601,1.678,1.769,XOM
11850,20151231,20160630,20160831,34.579,1.759,1.749,XOM
11850,20151231,20160630,20160930,34.635,1.762,1.752,XOM
11850,20151231,20160630,20161031,33.063,1.682,1.672,XOM
11850,20151231,20160930,20161130,40.794,1.839,1.762,XOM
11850,20151231,20160930,20161231,42.178,1.901,1.822,XOM
11850,20151231,20160930,20170131,39.201,1.767,1.693,XOM
11850,20161231,20161231,20170228,43.255,1.707,1.675,XOM
11850,20161231,20161231,20170331,43.622,1.722,1.689,XOM
