gvkey,iid,datadate,tic,cshtrd,prccd,prcld,prcstd
2817,1,20100104,CAT,7324913,58.55,57.51,3
2817,1,20100105,CAT,5690090,59.25,58.23,3
2817,1,20100106,CAT,4718649,59.43,59.0505,3
2817,1,20100107,CAT,5433063,59.67,58.65,3
2817,1,20100108,CAT,6640882,60.34,59.25,3
2817,1,20100111,CAT,21851400,64.13,60.85,3
2817,1,20100112,CAT,13526460,62.24,61.18,3
2817,1,20100113,CAT,8398154,62.33,61.38,3
2817,1,20100114,CAT,6215648,61.98,61.75,3
2817,1,20100115,CAT,9396919,60.12,60.01,3
2817,1,20100119,CAT,7986912,60.93,59.35,3
2817,1,20100120,CAT,6953482,59.76,59.31,3
2817,1,20100121,CAT,13874510,56.85,56.7,3
2817,1,20100122,CAT,14754650,54.25,54.02,3
2817,1,20100125,CAT,9777005,55.14,54.83,3
2817,1,20100126,CAT,15217210,55.85,54.6,3
2817,1,20100127,CAT,34038790,53.44,51.03,3
2817,1,20100128,CAT,15621400,51.86,51.2,3
2817,1,20100129,CAT,13962280,52.24,52,3
2817,1,20100201,CAT,7140551,52.94,52.5,3
2817,1,20100202,CAT,7662194,53.55,52.62,3
2817,1,20100203,CAT,6340736,53.39,53.1,3
2817,1,20100204,CAT,11638860,51.4,51.38,3
2817,1,20100205,CAT,15988660,51.75,50.69,3
2817,1,20100208,CAT,8665796,50.78,50.5,3
2817,1,20100209,CAT,15494200,53.53,52.55,3
2817,1,20100210,CAT,8580164,53.15,52.45,3
2817,1,20100211,CAT,16401120,56.15,52.67,3
2817,1,20100212,CAT,13447620,56.2,54.61,3
2817,1,20100216,CAT,7364045,57.12,56.19,3
2817,1,20100217,CAT,8450799,57.5,57.22,3
2817,1,20100218,CAT,6839540,57.81,56.85,3
2817,1,20100219,CAT,8004828,58.25,57.31,3
2817,1,20100222,CAT,6993577,58.03,58,3
2817,1,20100223,CAT,10310680,56.66,56.22,3
2817,1,20100224,CAT,5809376,56.96,56.46,3
2817,1,20100225,CAT,9964744,56.79,54.21,3
2817,1,20100226,CAT,6106186,57.05,56.1,3
2817,1,20100301,CAT,8398415,57.85,57.25,3
2817,1,20100302,CAT,6583402,58.15,58.02,3
2817,1,20100303,CAT,8828564,58.57,58.39,3
2817,1,20100304,CAT,6195297,58.45,57.81,3
2817,1,20100305,CAT,6626696,59.23,58.9,3
2817,1,20100308,CAT,4755005,58.91,58.5678,3
2817,1,20100309,CAT,7692241,59.18,58.4005,3
2817,1,20100310,CAT,6529667,58.78,58.43,3
2817,1,20100311,CAT,6163631,58.9,57.92,3
2817,1,20100312,CAT,9687736,60.36,59.35,3
2817,1,20100315,CAT,7906028,59.47,58.38,3
2817,1,20100316,CAT,7280962,59.45,58.84,3
2817,1,20100317,CAT,7924848,60.22,59.49,3
2817,1,20100318,CAT,7204091,59.77,59.335,3
2817,1,20100319,CAT,9423650,59.37,58.95,3
2817,1,20100322,CAT,7511120,59.95,58.66,3
2817,1,20100323,CAT,14315250,62.41,60.01,3
2817,1,20100324,CAT,11446390,62.06,61.42,3
2817,1,20100325,CAT,11361800,62.14,62.05,3
2817,1,20100326,CAT,7887298,62.44,61.99,3
2817,1,20100329,CAT,6986497,63.48,62.76,3
2817,1,20100330,CAT,6182757,63.16,62.81,3
2817,1,20100331,CAT,6660717,62.85,62.63,3
2817,1,20100401,CAT,7828897,63.99,63.29,3
2817,1,20100405,CAT,6695240,64.99,64.2,3
2817,1,20100406,CAT,6388982,65.29,64.57,3
2817,1,20100407,CAT,6972955,64.47,64,3
2817,1,20100408,CAT,5409001,64.48,63.55,3
2817,1,20100409,CAT,6022809,65.27,64.82,3
2817,1,20100412,CAT,11836670,66.73,65.76,3
2817,1,20100413,CAT,7001009,66.19,66.16,3
2817,1,20100414,CAT,5497399,67.28,66.2,3
2817,1,20100415,CAT,7128979,68.22,67.16,3
2817,1,20100416,CAT,10385350,66.88,66.34,3
2817,1,20100419,CAT,7968304,66.99,65.77,3
2817,1,20100420,CAT,7695234,67.5,67.4,3
2817,1,20100421,CAT,6343173,67.75,66.7,3
2817,1,20100422,CAT,8718684,67.51,65.97,3
2817,1,20100423,CAT,9044427,68.78,66.99,3
2817,1,20100426,CAT,20121660,71.65,70.65,3
2817,1,20100427,CAT,14319090,68.53,68.28,3
2817,1,20100428,CAT,8232383,68.97,68.6,3
2817,1,20100429,CAT,7916763,70.75,69.62,3
2817,1,20100430,CAT,9428029,68.09,67.82,3
2817,1,20100503,CAT,7885857,69.94,68.09,3
2817,1,20100504,CAT,12557180,66.7,66.25,3
2817,1,20100505,CAT,11422630,65.96,64.08,3
2817,1,20100506,CAT,19362850,63.5,58,3
2817,1,20100507,CAT,15723990,62.1,60.64,3
2817,1,20100510,CAT,11852070,66.69,65.19,3
2817,1,20100511,CAT,7481206,66.07,65,3
2817,1,20100512,CAT,7789500,68.15,66.6,3
2817,1,20100513,CAT,6530944,66.91,66.67,3
2817,1,20100514,CAT,9938178,64.88,63.91,3
2817,1,20100517,CAT,11881240,63.78,61.99,3
2817,1,20100518,CAT,9594657,63.19,62.8499,3
2817,1,20100519,CAT,18578100,61.44,59.28,3
2817,1,20100520,CAT,22797210,58.67,58,3
2817,1,20100521,CAT,15889840,60.09,57.2,3
2817,1,20100524,CAT,11176200,59.22,59.09,3
2817,1,20100525,CAT,13792580,59.21,55.74,3
2817,1,20100526,CAT,11566350,59.73,59.25,3
2817,1,20100527,CAT,9439381,62.06,60.82,3
2817,1,20100528,CAT,7702189,60.76,60.05,3
2817,1,20100601,CAT,8340649,59.27,59.22,3
2817,1,20100602,CAT,9451735,60.86,59.28,3
2817,1,20100603,CAT,8982566,61.11,60.42,3
2817,1,20100604,CAT,10258650,57.76,57.36,3
2817,1,20100607,CAT,8904496,55.83,55.8,3
2817,1,20100608,CAT,11604630,56.61,54.89,3
2817,1,20100609,CAT,9749178,56.81,56.59,3
2817,1,20100610,CAT,9681161,59.95,58,3
2817,1,20100611,CAT,7341345,60.23,58.99,3
2817,1,20100614,CAT,9777303,61,60.88,3
2817,1,20100615,CAT,11868050,63.46,61.5,3
2817,1,20100616,CAT,10561080,64.39,62.73,3
2817,1,20100617,CAT,10574600,64.95,63.67,3
2817,1,20100618,CAT,10972720,65.85,64.57,3
2817,1,20100621,CAT,11609650,66.07,65.55,3
2817,1,20100622,CAT,8617481,64.11,63.88,3
2817,1,20100623,CAT,9033090,64.33,62.64,3
2817,1,20100624,CAT,8656561,63.37,63.05,3
2817,1,20100625,CAT,12054350,64.71,62.92,3
2817,1,20100628,CAT,6836353,64.4,64.01,3
2817,1,20100629,CAT,13052200,60.85,60.25,3
2817,1,20100630,CAT,9629848,60.07,59.91,3
2817,1,20100701,CAT,11595490,59.97,58.06,3
2817,1,20100702,CAT,7877178,59.18,58.62,3
2817,1,20100706,CAT,9355391,59.81,59.21,3
2817,1,20100707,CAT,7580500,62.18,59.67,3
2817,1,20100708,CAT,6053707,63.17,62.18,3
2817,1,20100709,CAT,6450436,64.72,63,3
2817,1,20100712,CAT,4912997,64.28,63.87,3
2817,1,20100713,CAT,10042200,66.79,65.31,3
2817,1,20100714,CAT,6848229,66.7,65.52,3
2817,1,20100715,CAT,8093519,66.51,65.36,3
2817,1,20100716,CAT,8494579,63.94,63.75,3
2817,1,20100719,CAT,6821190,64.8,63.56,3
2817,1,20100720,CAT,9460868,66.43,63.56,3
2817,1,20100721,CAT,11403510,66.87,66.19,3
2817,1,20100722,CAT,15897290,68,66.46,3
2817,1,20100723,CAT,8865498,69.31,67.33,3
2817,1,20100726,CAT,8878263,69.99,69.0799,3
2817,1,20100727,CAT,11945930,69.18,68.085,3
2817,1,20100728,CAT,7609861,69.72,68.7,3
2817,1,20100729,CAT,7671261,69.4,68.21,3
2817,1,20100730,CAT,7218063,69.75,68.39,3
2817,1,20100802,CAT,6268187,71.05,70.07,3
2817,1,20100803,CAT,5878842,70.37,69.88,3
2817,1,20100804,CAT,6204216,71.12,70.28,3
2817,1,20100805,CAT,7403263,71.96,70.81,3
2817,1,20100806,CAT,5455949,71.56,70.3,3
2817,1,20100809,CAT,3624806,72.07,71.42,3
2817,1,20100810,CAT,6082274,71.42,70.58,3
2817,1,20100811,CAT,9193798,68.71,68.35,3
2817,1,20100812,CAT,7621394,67.5,66.78,3
2817,1,20100813,CAT,6659204,68.01,67.21,3
2817,1,20100816,CAT,5432442,68.49,67.0608,3
2817,1,20100817,CAT,5935452,69.74,69.3,3
2817,1,20100818,CAT,4987395,69.75,69.06,3
2817,1,20100819,CAT,9618718,69.29,68.42,3
2817,1,20100820,CAT,8017889,68.86,67.46,3
2817,1,20100823,CAT,8857026,66.84,66.72,3
2817,1,20100824,CAT,9620931,65.04,64.31,3
2817,1,20100825,CAT,8676011,64.7,63.335,3
2817,1,20100826,CAT,7067525,63.95,63.772,3
2817,1,20100827,CAT,7465139,65.9,63.36,3
2817,1,20100830,CAT,5118240,64.47,64.46,3
2817,1,20100831,CAT,6760676,65.16,63.92,3
2817,1,20100901,CAT,9032587,68.16,66.35,3
2817,1,20100902,CAT,5293102,68.54,67.75,3
2817,1,20100903,CAT,7821679,70.08,69.54,3
2817,1,20100907,CAT,6841627,69.7,68.8,3
2817,1,20100908,CAT,6298998,70.74,69.95,3
2817,1,20100909,CAT,5341343,70.64,70.01,3
2817,1,20100910,CAT,5011515,71.26,70.37,3
2817,1,20100913,CAT,7673973,72.24,71.705,3
2817,1,20100914,CAT,6040400,71.83,71.57,3
2817,1,20100915,CAT,5503869,72.13,70.8,3
2817,1,20100916,CAT,6232824,72,71.28,3
2817,1,20100917,CAT,11318510,73.18,71.09,3
2817,1,20100920,CAT,8886208,74.75,72.88,3
2817,1,20100921,CAT,14939430,76.39,74.72,3
2817,1,20100922,CAT,8383310,76.18,75.5,3
2817,1,20100923,CAT,8735109,76.26,75,3
2817,1,20100924,CAT,14187830,79.73,77.62,3
2817,1,20100927,CAT,8360442,79.54,78.9,3
2817,1,20100928,CAT,7784057,79.67,78.43,3
2817,1,20100929,CAT,7939624,79.99,79.42,3
2817,1,20100930,CAT,11928450,78.68,78.21,3
2817,1,20101001,CAT,8540490,78.22,77.53,3
2817,1,20101004,CAT,6405335,77.27,76.51,3
2817,1,20101005,CAT,7100113,79.4,78.2,3
2817,1,20101006,CAT,6252098,79.08,78.48,3
2817,1,20101007,CAT,8978093,78.74,77.85,3
2817,1,20101008,CAT,10060510,80.37,78.93,3
2817,1,20101011,CAT,4593505,79.98,79.51,3
2817,1,20101012,CAT,10034200,79.34,78.3,3
2817,1,20101013,CAT,8493164,80.29,80.08,3
2817,1,20101014,CAT,5663820,79.91,79.27,3
2817,1,20101015,CAT,6522853,79.75,79,3
2817,1,20101018,CAT,6542518,80.24,79.66,3
2817,1,20101019,CAT,9856357,78.55,77.77,3
2817,1,20101020,CAT,9637419,80.32,78.81,3
2817,1,20101021,CAT,17708130,78.89,77.51,3
2817,1,20101022,CAT,6436074,78.33,77.86,3
2817,1,20101025,CAT,6476263,79.05,78.5,3
