permno,adate,qdate,public_date,pe_exi,ps,ptb,TICKER
12308,20091231,20100930,20101130,0.337,0.54,2.475,CHTR
12308,20091231,20100930,20101231,0.392,0.626,2.872,CHTR
12308,20091231,20100930,20110131,0.423,0.689,3.159,CHTR
12308,20101231,20101231,20110228,-21.9,0.743,3.548,CHTR
12308,20101231,20101231,20110331,-24.225,0.789,3.769,CHTR
12308,20101231,20101231,20110430,-28.201,0.919,4.388,CHTR
12308,20101231,20110331,20110531,-19.047,0.876,5.259,CHTR
12308,20101231,20110331,20110630,-18.295,0.842,5.051,CHTR
12308,20101231,20110331,20110731,-18.208,0.838,5.026,CHTR
12308,20101231,20110630,20110831,-15.583,0.771,5.158,CHTR
12308,20101231,20110630,20110930,-14.634,0.709,4.738,CHTR
12308,20101231,20110630,20111031,-14.352,0.695,4.647,CHTR
12308,20101231,20110930,20111130,-16.754,0.795,6.586,CHTR
12308,20101231,20110930,20111231,-18.044,0.8,6.628,CHTR
12308,20101231,20110930,20120131,-18.266,0.81,6.706,CHTR
12308,20111231,20111231,20120229,-18.705,0.885,5.074,CHTR
12308,20111231,20111231,20120331,-18.717,0.886,5.08,CHTR
12308,20111231,20111231,20120430,-17.838,0.844,4.841,CHTR
12308,20111231,20120331,20120531,-20.699,0.868,5.072,CHTR
12308,20111231,20120331,20120630,-23.397,0.984,5.746,CHTR
12308,20111231,20120331,20120731,-25.394,1.068,6.237,CHTR
12308,20111231,20120630,20120831,-26.888,1.066,6.37,CHTR
12308,20111231,20120630,20120930,-25.941,1.031,6.162,CHTR
12308,20111231,20120630,20121031,-26.754,1.064,6.355,CHTR
12308,20111231,20120930,20121130,-23.889,0.964,5.835,CHTR
12308,20111231,20120930,20121231,-25.707,1.039,6.287,CHTR
12308,20111231,20120930,20130131,-26.29,1.062,6.429,CHTR
12308,20121231,20121231,20130228,-28.325,1.165,6.877,CHTR
12308,20121231,20121231,20130331,-34.157,1.406,8.299,CHTR
12308,20121231,20121231,20130430,-33.03,1.358,8.016,CHTR
12308,20121231,20130331,20130531,-48.766,1.492,8.045,CHTR
12308,20121231,20130331,20130630,-53.926,1.654,8.923,CHTR
12308,20121231,20130331,20130731,-54.749,1.68,9.059,CHTR
12308,20121231,20130630,20130831,-50.673,1.603,8.584,CHTR
12308,20121231,20130630,20130930,-56.241,1.827,9.779,CHTR
12308,20121231,20130630,20131031,-55.94,1.817,9.727,CHTR
12308,20121231,20130930,20131130,-60.737,1.776,9.423,CHTR
12308,20121231,20130930,20131231,-61.484,1.833,9.723,CHTR
12308,20121231,20130930,20140131,-61.592,1.836,9.74,CHTR
12308,20131231,20131231,20140228,-76.83,1.68,8.658,CHTR
12308,20131231,20131231,20140331,-74.667,1.635,8.428,CHTR
12308,20131231,20131231,20140430,-82.139,1.799,9.271,CHTR
12308,20131231,20140331,20140531,-96.528,1.835,9.568,CHTR
12308,20131231,20140331,20140630,-106.81,2.039,10.628,CHTR
12308,20131231,20140331,20140731,-104.2,1.989,10.369,CHTR
12308,20131231,20140630,20140831,-157.72,1.953,10.187,CHTR
12308,20131231,20140630,20140930,-152.19,1.895,9.886,CHTR
12308,20131231,20140630,20141031,-159.25,1.983,10.345,CHTR
12308,20131231,20140930,20141130,-206.24,2.084,10.863,CHTR
12308,20131231,20140930,20141231,-202.5,2.098,10.932,CHTR
12308,20131231,20140930,20150131,-183.65,1.903,9.915,CHTR
12308,20141231,20141231,20150228,-106.24,2.221,11.114,CHTR
12308,20141231,20141231,20150331,-113.59,2.375,11.886,CHTR
12308,20141231,20141231,20150430,-110.04,2.301,11.514,CHTR
12308,20141231,20150331,20150531,-95.186,2.164,11.247,CHTR
12308,20141231,20150331,20150630,-91.055,2.07,10.759,CHTR
12308,20141231,20150331,20150731,-98.823,2.247,11.678,CHTR
12308,20141231,20150630,20150831,-73.037,2.155,11.179,CHTR
12308,20141231,20150630,20150930,-70.72,2.091,10.845,CHTR
12308,20141231,20150630,20151031,-76.789,2.271,11.776,CHTR
12308,20141231,20150930,20151130,-117.07,2.19,12.548,CHTR
12308,20141231,20150930,20151231,-114.41,2.144,12.284,CHTR
12308,20141231,20150930,20160131,-107.07,2.007,11.496,CHTR
12308,20151231,20151231,20160229,-73.893,2.07,,CHTR
12308,20151231,20151231,20160331,-83.305,2.334,,CHTR
12308,20151231,20151231,20160430,-87.342,2.447,,CHTR
12308,20151231,20160331,20160531,-64.775,2.243,,CHTR
12308,20151231,20160331,20160630,-67.645,6.243,,CHTR
12308,20151231,20160331,20160731,-69.488,6.413,,CHTR
12308,20151231,20160630,20160831,14.036,5.104,1.047,CHTR
12308,20151231,20160630,20160930,14.732,5.352,1.098,CHTR
12308,20151231,20160630,20161031,13.636,4.954,1.016,CHTR
12308,20151231,20160930,20161130,19.631,3.508,1.12,CHTR
12308,20151231,20160930,20161231,20.53,3.645,1.164,CHTR
12308,20151231,20160930,20170131,23.099,4.101,1.309,CHTR
12308,20161231,20161231,20170228,20.267,3.423,1.486,CHTR
12308,20161231,20161231,20170331,20.535,3.019,1.311,CHTR
12308,20161231,20161231,20170430,21.654,3.184,1.382,CHTR
12308,20161231,20170331,20170531,19.091,2.523,1.394,CHTR
12308,20161231,20170331,20170630,18.61,2.371,1.31,CHTR
12308,20161231,20170331,20170731,21.652,2.759,1.524,CHTR
12308,20161231,20170630,20170831,115.519,2.517,1.626,CHTR
12308,20161231,20170630,20170930,105.339,2.213,1.43,CHTR
12308,20161231,20170630,20171031,96.861,2.035,1.314,CHTR
12308,20161231,20170930,20171130,110.206,1.966,1.356,CHTR
12308,20161231,20170930,20171231,113.5,1.942,1.34,CHTR
12308,20161231,20170930,20180131,127.449,2.181,1.504,CHTR
12308,20171231,20171231,20180228,10.03,1.955,1.442,CHTR
12308,20171231,20171231,20180331,9.129,1.777,1.31,CHTR
12308,20171231,20171231,20180430,7.958,1.549,1.142,CHTR
12308,20171231,20180331,20180531,7.257,1.473,1.105,CHTR
12308,20171231,20180331,20180630,8.152,1.616,1.211,CHTR
12308,20171231,20180331,20180731,8.468,1.678,1.258,CHTR
12308,20171231,20180630,20180831,8.483,1.691,1.313,CHTR
12308,20171231,20180630,20180930,8.906,1.752,1.361,CHTR
12308,20171231,20180630,20181031,8.756,1.723,1.338,CHTR
12308,20171231,20180930,20181130,8.553,1.752,1.382,CHTR
12308,20171231,20180930,20181231,7.404,1.493,1.178,CHTR
12308,20171231,20180930,20190131,8.601,1.735,1.368,CHTR
12308,20181231,20181231,20190228,66.075,1.778,1.446,CHTR
12308,20181231,20181231,20190331,66.458,1.776,1.444,CHTR
12308,20181231,20181231,20190430,71.109,1.901,1.545,CHTR
12308,20181231,20190331,20190531,66.572,1.905,1.582,CHTR
12308,20181231,20190331,20190630,69.82,1.981,1.645,CHTR
12308,20181231,20190331,20190731,68.088,1.932,1.604,CHTR
12308,20181231,20190630,20190831,69.422,2.031,1.718,CHTR
12308,20181231,20190630,20190930,69.851,1.981,1.676,CHTR
12308,20181231,20190630,20191031,79.298,2.249,1.903,CHTR
12308,20181231,20190930,20191130,85.147,2.232,1.996,CHTR
12308,20181231,20190930,20191231,87.877,2.303,2.06,CHTR
13928,20081231,20090930,20100131,-2.488,0.518,0.892,COP
13928,20091231,20091231,20100228,14.815,0.525,0.887,COP
13928,20091231,20091231,20100331,15.793,0.559,0.946,COP
13928,20091231,20091231,20100430,18.269,0.664,1.124,COP
13928,20091231,20100331,20100531,13.647,0.515,0.956,COP
13928,20091231,20100331,20100630,12.918,0.487,0.905,COP
13928,20091231,20100331,20100731,14.532,0.548,1.018,COP
13928,20091231,20100630,20100831,8.738,0.486,0.944,COP
13928,20091231,20100630,20100930,9.572,0.532,1.034,COP
13928,20091231,20100630,20101031,9.898,0.55,1.069,COP
13928,20091231,20100930,20101130,8.511,0.529,1.02,COP
13928,20091231,20100930,20101231,9.632,0.599,1.155,COP
13928,20091231,20100930,20110131,10.107,0.628,1.212,COP
13928,20101231,20101231,20110228,10.219,0.633,1.296,COP
13928,20101231,20101231,20110331,10.48,0.65,1.329,COP
13928,20101231,20101231,20110430,10.353,0.653,1.337,COP
13928,20101231,20110331,20110531,9.387,0.69,1.183,COP
13928,20101231,20110331,20110630,9.64,0.709,1.215,COP
13928,20101231,20110331,20110731,9.229,0.679,1.163,COP
13928,20101231,20110630,20110831,10.236,0.749,1.061,COP
13928,20101231,20110630,20110930,9.522,0.696,0.987,COP
13928,20101231,20110630,20111031,10.474,0.766,1.085,COP
13928,20101231,20110930,20111130,12.512,0.969,1.13,COP
13928,20101231,20110930,20111231,12.784,0.991,1.155,COP
13928,20101231,20110930,20120131,11.967,0.927,1.081,COP
13928,20111231,20111231,20120229,8.534,0.424,1.176,COP
13928,20111231,20111231,20120331,8.474,0.419,1.162,COP
13928,20111231,20111231,20120430,7.986,0.392,1.088,COP
13928,20111231,20120331,20120531,10.089,1.047,0.774,COP
13928,20111231,20120331,20120630,10.809,1.121,0.829,COP
13928,20111231,20120331,20120731,10.53,1.049,0.776,COP
13928,20111231,20120630,20120831,11.59,1.159,1.158,COP
13928,20111231,20120630,20120930,11.669,1.167,1.166,COP
13928,20111231,20120630,20121031,11.806,1.18,1.179,COP
13928,20111231,20120930,20121130,10.887,1.21,1.123,COP
13928,20111231,20120930,20121231,11.088,1.232,1.143,COP
13928,20111231,20120930,20130131,11.09,1.232,1.144,COP
13928,20121231,20121231,20130228,9.805,1.221,1.157,COP
13928,20121231,20121231,20130331,10.169,1.266,1.2,COP
13928,20121231,20121231,20130430,10.228,1.275,1.208,COP
13928,20121231,20130331,20130531,10.468,1.303,1.202,COP
13928,20121231,20130331,20130630,10.324,1.286,1.185,COP
13928,20121231,20130331,20130731,11.068,1.378,1.271,COP
13928,20121231,20130630,20130831,10.763,1.417,1.297,COP
13928,20121231,20130630,20130930,11.284,1.486,1.36,COP
13928,20121231,20130630,20131031,11.904,1.567,1.435,COP
13928,20121231,20130930,20131130,10.849,1.572,1.354,COP
13928,20121231,20130930,20131231,10.529,1.526,1.314,COP
13928,20121231,20130930,20140131,9.68,1.403,1.208,COP
13928,20131231,20131231,20140228,10.342,1.498,1.211,COP
13928,20131231,20131231,20140331,10.941,1.587,1.283,COP
13928,20131231,20131231,20140430,11.557,1.676,1.355,COP
13928,20131231,20140331,20140531,12.317,1.763,1.427,COP
13928,20131231,20140331,20140630,13.21,1.891,1.531,COP
13928,20131231,20140331,20140731,12.712,1.82,1.473,COP
13928,20131231,20140630,20140831,12.515,1.779,1.4,COP
13928,20131231,20140630,20140930,11.79,1.676,1.319,COP
13928,20131231,20140630,20141031,11.117,1.58,1.244,COP
13928,20131231,20140930,20141130,11.333,1.49,1.14,COP
13928,20131231,20140930,20141231,11.846,1.558,1.191,COP
13928,20131231,20140930,20150131,10.803,1.421,1.086,COP
13928,20141231,20141231,20150228,14.174,1.529,1.199,COP
13928,20141231,20141231,20150331,13.535,1.46,1.145,COP
13928,20141231,20141231,20150430,14.765,1.592,1.249,COP
13928,20141231,20150331,20150531,20.28,1.752,1.252,COP
13928,20141231,20150331,20150630,19.557,1.689,1.208,COP
13928,20141231,20150331,20150731,16.032,1.385,0.99,COP
13928,20141231,20150630,20150831,36.407,1.543,0.962,COP
13928,20141231,20150630,20150930,35.526,1.505,0.939,COP
13928,20141231,20150630,20151031,39.519,1.675,1.045,COP
13928,20141231,20150930,20151130,-65.12,1.935,1.16,COP
13928,20141231,20150930,20151231,-56.253,1.672,1.002,COP
13928,20141231,20150930,20160131,-47.084,1.399,0.839,COP
13928,20151231,20151231,20160229,-9.45,1.415,0.824,COP
13928,20151231,20151231,20160331,-11.249,1.687,0.982,COP
13928,20151231,20151231,20160430,-13.349,2.002,1.166,COP
13928,20151231,20160331,20160531,-8.793,2.011,1.097,COP
13928,20151231,20160331,20160630,-8.755,2.002,1.093,COP
13928,20151231,20160331,20160731,-8.197,1.874,1.023,COP
13928,20151231,20160630,20160831,-7.214,2.116,1.077,COP
13928,20151231,20160630,20160930,-7.64,2.241,1.141,COP
13928,20151231,20160630,20161031,-7.636,2.24,1.14,COP
13928,20151231,20160930,20161130,-8.572,2.594,1.33,COP
13928,20151231,20160930,20161231,-8.859,2.68,1.374,COP
13928,20151231,20160930,20170131,-8.615,2.607,1.336,COP
13928,20161231,20161231,20170228,-16.347,2.481,1.338,COP
13928,20161231,20161231,20170331,-17.137,2.601,1.403,COP
13928,20161231,20161231,20170430,-16.464,2.501,1.349,COP
13928,20161231,20170331,20170531,-35.468,2.119,1.288,COP
13928,20161231,20170331,20170630,-34.889,2.084,1.267,COP
13928,20161231,20170331,20170731,-36.008,2.116,1.286,COP
13928,20161231,20170630,20170831,-13.773,1.93,1.451,COP
13928,20161231,20170630,20170930,-15.789,2.213,1.663,COP
13928,20161231,20170630,20171031,-16.136,2.222,1.67,COP
13928,20161231,20170930,20171130,-25.313,2.188,1.655,COP
13928,20161231,20170930,20171231,-27.308,2.361,1.785,COP
13928,20161231,20170930,20180131,-29.259,2.529,1.913,COP
13928,20171231,20171231,20180228,-77.586,2.192,1.777,COP
13928,20171231,20171231,20180331,-84.7,2.393,1.94,COP
13928,20171231,20171231,20180430,-93.571,2.633,2.135,COP
13928,20171231,20180331,20180531,-182.14,2.595,2.193,COP
13928,20171231,20180331,20180630,-188.16,2.681,2.266,COP
13928,20171231,20180331,20180731,-195.05,2.76,2.333,COP
13928,20171231,20180630,20180831,19.375,2.658,2.333,COP
13928,20171231,20180630,20180930,20.422,2.801,2.459,COP
13928,20171231,20180630,20181031,18.443,2.506,2.2,COP
13928,20171231,20180930,20181130,13.131,2.185,2.033,COP
13928,20171231,20180930,20181231,12.371,2.059,1.915,COP
13928,20171231,20180930,20190131,13.431,2.21,2.056,COP
13928,20181231,20181231,20190228,12.754,2.114,2.083,COP
13928,20181231,20181231,20190331,12.545,2.079,2.048,COP
13928,20181231,20181231,20190430,11.865,1.959,1.93,COP
13928,20181231,20190331,20190531,9.525,1.812,1.758,COP
13928,20181231,20190331,20190630,9.855,1.875,1.819,COP
13928,20181231,20190331,20190731,9.544,1.784,1.73,COP
13928,20181231,20190630,20190831,8.416,1.599,1.532,COP
13928,20181231,20190630,20190930,9.19,1.747,1.673,COP
13928,20181231,20190630,20191031,8.903,1.672,1.602,COP
13928,20181231,20190930,20191130,8.177,1.905,1.651,COP
13928,20181231,20190930,20191231,8.872,2.067,1.791,COP
17005,20081231,20090930,20100131,13.105,0.47,1.163,CVS
17005,20091231,20091231,20100228,13.184,0.476,1.192,CVS
17005,20091231,20091231,20100331,14.281,0.514,1.287,CVS
17005,20091231,20091231,20100430,14.422,0.519,1.3,CVS
17005,20091231,20100331,20100531,13.319,0.476,1.198,CVS
17005,20091231,20100331,20100630,11.277,0.403,1.014,CVS
17005,20091231,20100331,20100731,11.804,0.42,1.058,CVS
17005,20091231,20100630,20100831,10.377,0.374,0.926,CVS
17005,20091231,20100630,20100930,12.104,0.436,1.08,CVS
17005,20091231,20100630,20101031,11.588,0.417,1.034,CVS
17005,20091231,20100930,20101130,12.45,0.434,1.045,CVS
17005,20091231,20100930,20101231,13.964,0.487,1.173,CVS
17005,20091231,20100930,20110131,13.735,0.479,1.153,CVS
17005,20101231,20101231,20110228,13.224,0.469,1.094,CVS
17005,20101231,20101231,20110331,13.728,0.486,1.134,CVS
17005,20101231,20101231,20110430,14.488,0.513,1.197,CVS
17005,20101231,20110331,20110531,15.728,0.537,1.26,CVS
17005,20101231,20110331,20110630,15.276,0.521,1.224,CVS
17005,20101231,20110331,20110731,14.776,0.504,1.184,CVS
17005,20101231,20110630,20110831,14.657,0.481,1.145,CVS
17005,20101231,20110630,20110930,13.71,0.45,1.071,CVS
17005,20101231,20110630,20111031,14.83,0.487,1.158,CVS
17005,20101231,20110930,20111130,15.536,0.489,1.222,CVS
17005,20101231,20110930,20111231,16.312,0.513,1.284,CVS
17005,20101231,20110930,20120131,16.7,0.526,1.314,CVS
17005,20111231,20111231,20120229,17.413,0.548,1.402,CVS
17005,20111231,20111231,20120331,17.297,0.547,1.397,CVS
17005,20111231,20111231,20120430,17.228,0.544,1.391,CVS
17005,20111231,20120331,20120531,16.769,0.513,1.374,CVS
17005,20111231,20120331,20120630,17.437,0.534,1.428,CVS
17005,20111231,20120331,20120731,16.884,0.517,1.383,CVS
17005,20111231,20120630,20120831,16.095,0.497,1.386,CVS
17005,20111231,20120630,20120930,17.11,0.529,1.473,CVS
17005,20111231,20120630,20121031,16.396,0.507,1.412,CVS
17005,20111231,20120930,20121130,15.607,0.483,1.421,CVS
17005,20111231,20120930,20121231,16.225,0.502,1.477,CVS
17005,20111231,20120930,20130131,17.181,0.532,1.564,CVS
17005,20121231,20121231,20130228,16.871,0.511,1.517,CVS
17005,20121231,20121231,20130331,18.149,0.555,1.646,CVS
17005,20121231,20121231,20130430,19.201,0.587,1.741,CVS
17005,20121231,20130331,20130531,17.938,0.573,1.679,CVS
17005,20121231,20130331,20130630,17.813,0.569,1.668,CVS
17005,20121231,20130331,20130731,19.156,0.612,1.793,CVS
17005,20121231,20130630,20130831,17.226,0.577,1.67,CVS
17005,20121231,20130630,20130930,16.84,0.564,1.632,CVS
